,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.42,0.48,0.65,0.85,0.68,0.71,0.37,0.38,0.38,0.29,0.28,0.33,0.26,0.4,0.3,0.31
f_1,0.76,0.41,0.62,0.66,0.68,0.58,0.28,0.33,0.4,0.29,0.29,0.29,0.21,0.23,0.28,0.26
d_1,0.73,0.77,0.39,0.65,0.66,0.56,0.34,0.4,0.24,0.32,0.29,0.28,0.24,0.31,0.27,0.18
c_1,0.52,0.71,0.78,0.38,0.78,0.64,0.35,0.19,0.41,0.36,0.31,0.33,0.26,0.29,0.28,0.23
b_1,0.73,0.65,0.73,0.42,0.37,0.83,0.36,0.31,0.4,0.36,0.5,0.32,0.32,0.32,0.35,0.26
a_1,0.66,0.79,0.84,0.69,0.4,0.3,0.41,0.32,0.36,0.36,0.36,0.33,0.28,0.33,0.51,0.28
h_1,0.6,0.72,0.61,0.62,0.61,0.56,0.23,0.29,0.38,0.27,0.28,0.23,0.28,0.26,0.26,0.25
d_0,0.43,0.63,0.77,0.88,0.62,0.63,0.38,0.24,0.38,0.29,0.29,0.29,0.25,0.27,0.27,0.31
g_1,0.6,0.66,0.69,0.64,0.6,0.6,0.26,0.29,0.22,0.27,0.3,0.31,0.2,0.28,0.26,0.25
c_0,0.74,0.69,0.43,0.95,0.68,0.53,0.36,0.36,0.31,0.23,0.33,0.32,0.24,0.3,0.29,0.24
b_0,0.66,0.61,0.54,0.79,0.78,0.58,0.35,0.32,0.32,0.19,0.21,0.28,0.25,0.31,0.31,0.26
f_0,0.59,0.89,0.61,0.68,0.64,0.56,0.43,0.26,0.24,0.27,0.29,0.21,0.23,0.32,0.26,0.18
h_0,0.59,0.69,0.59,0.66,0.55,0.57,0.39,0.29,0.33,0.27,0.28,0.29,0.29,0.29,0.27,0.29
e_0,0.66,0.86,0.52,0.77,0.7,0.54,0.34,0.3,0.29,0.28,0.25,0.18,0.23,0.18,0.25,0.24
a_0,0.63,0.64,0.55,0.72,0.74,0.71,0.38,0.29,0.32,0.24,0.16,0.36,0.22,0.3,0.18,0.24
g_0,0.59,0.66,0.67,0.68,0.62,0.54,0.28,0.26,0.36,0.3,0.32,0.29,0.19,0.26,0.28,0.25
