,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.93,0.62,0.42,0.71,0.47,0.41,0.88,0.68,2.01,0.96,1.01,0.8,1.0,1.25,0.39,0.87
f_1,1.06,15.65,0.58,0.49,0.45,0.54,0.81,0.89,0.71,0.7,0.88,0.25,0.85,0.76,0.58,0.81
d_1,0.47,0.57,19.48,0.43,0.5,0.67,0.79,1.1,0.31,2.17,1.14,0.97,1.02,0.77,1.24,1.02
c_1,0.45,0.51,0.46,19.89,1.26,0.48,0.74,0.81,0.88,0.27,0.58,0.94,0.9,0.95,1.11,0.82
b_1,0.52,0.48,0.59,0.54,22.22,1.12,0.74,0.79,0.81,0.8,0.4,1.03,0.98,0.6,0.71,0.8
a_1,0.5,0.56,0.63,0.45,0.42,36.72,1.14,0.85,0.85,1.01,1.07,1.42,1.14,0.41,1.17,0.95
h_1,0.57,1.12,0.84,0.62,0.63,0.56,6.27,1.49,0.98,1.07,1.16,0.99,0.48,0.79,1.0,1.71
g_1,0.45,0.5,1.41,0.66,0.64,0.59,1.15,6.5,1.11,1.24,1.6,2.11,1.2,1.1,1.21,1.06
d_0,0.58,0.74,0.22,1.81,0.7,0.54,1.57,1.07,3.41,0.57,0.98,1.34,1.23,1.39,1.23,1.27
c_0,0.7,0.93,0.66,0.48,0.42,0.57,1.43,1.31,1.33,3.15,2.87,1.42,1.2,1.74,1.27,1.62
b_0,0.79,0.73,0.71,0.73,0.32,0.62,1.28,1.08,1.33,1.04,3.67,1.16,1.24,3.31,1.11,1.41
f_0,0.46,0.43,0.78,0.79,0.8,0.59,1.02,1.06,1.23,1.2,1.4,4.7,1.72,1.29,4.29,1.46
h_0,0.56,0.95,0.79,0.73,0.67,0.68,0.74,1.11,1.04,1.21,1.14,1.38,0.58,1.38,1.25,2.44
a_0,0.54,0.89,0.68,0.89,0.77,0.29,1.44,1.01,1.1,0.89,1.39,1.02,1.36,5.36,1.24,1.12
e_0,0.28,0.69,0.91,0.87,0.75,0.65,1.17,1.16,1.47,1.37,1.39,1.48,1.48,0.99,5.75,1.67
g_0,0.47,0.45,1.59,0.72,0.63,0.69,1.26,0.72,0.85,1.04,0.8,2.62,1.25,1.18,1.29,0.9
