,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.06,0.71,1.32,0.77,0.67,0.56,0.84,0.81,0.82,0.95,0.92,0.63,0.92,0.9,0.66,0.87
d_1,0.86,2.18,0.67,0.62,0.68,0.73,1.0,1.04,1.67,0.58,1.24,1.02,0.92,1.17,1.08,0.86
e_1,0.82,0.67,2.18,0.94,0.69,0.65,0.99,0.96,0.91,1.71,0.93,1.0,1.08,0.91,0.76,0.99
c_1,0.75,0.67,0.68,2.27,1.36,0.66,0.94,0.8,0.52,0.9,0.72,0.93,0.95,0.94,0.87,0.96
b_1,0.69,0.82,0.68,0.67,2.5,1.51,0.84,0.84,0.73,0.87,0.54,0.97,0.94,0.73,0.99,1.11
a_1,0.84,0.77,0.67,0.8,0.77,3.52,1.16,0.99,1.02,0.82,0.98,1.04,1.13,0.55,1.08,1.04
h_1,1.1,0.87,0.79,0.94,0.6,0.74,2.3,1.36,1.02,0.86,1.15,0.93,0.84,1.08,1.05,1.45
g_1,0.74,1.33,0.63,0.78,0.79,0.76,0.99,2.47,1.07,0.83,1.09,1.59,0.97,1.02,1.27,0.91
c_0,0.98,1.07,0.81,0.71,0.57,0.63,1.03,1.21,1.78,1.05,2.02,1.19,1.25,1.41,1.09,1.13
d_0,0.79,0.6,0.74,1.54,0.82,0.67,1.13,1.04,0.74,1.66,1.18,1.08,1.0,1.14,1.06,1.0
b_0,0.86,1.03,0.84,0.99,0.46,0.58,1.08,1.09,1.17,1.02,2.0,1.19,1.18,2.1,1.07,1.08
f_0,0.68,1.0,0.64,0.97,0.78,0.78,1.04,0.99,1.15,1.19,1.25,1.92,1.18,1.22,2.46,1.21
h_0,1.18,1.02,0.85,0.7,0.73,0.73,0.67,1.48,1.14,0.97,1.05,1.04,0.89,0.92,1.07,1.43
a_0,0.84,0.91,0.89,1.0,0.72,0.54,0.89,1.1,1.05,1.08,1.09,1.15,1.16,2.31,1.37,1.0
e_0,0.93,0.87,0.66,0.79,0.86,0.87,1.16,1.17,1.27,1.03,1.38,1.05,1.19,1.38,2.37,1.11
g_0,0.75,1.36,0.76,0.8,0.65,0.78,0.93,0.84,1.05,0.83,1.15,1.62,1.15,0.96,1.22,0.9
