,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,34.52,0.14,0.09,0.08,0.06,0.08,0.35,0.34,0.24,0.39,0.31,,0.5,0.19,0.41,0.24
e_1,0.09,35.02,0.05,0.04,0.06,0.06,0.3,0.68,0.27,0.34,0.43,0.39,0.62,,0.53,0.5
c_1,0.07,0.08,40.45,0.07,0.12,0.09,0.28,0.4,0.28,,0.27,0.34,0.59,0.33,0.31,0.66
d_1,0.08,0.06,0.05,45.65,0.05,0.06,0.33,,0.29,0.78,0.41,0.28,0.79,0.39,0.31,0.64
b_1,0.08,0.06,0.05,0.08,49.42,0.14,0.22,0.35,0.32,0.29,,0.45,0.71,0.44,0.26,0.65
a_1,0.07,0.07,0.06,0.08,0.05,70.53,0.31,0.37,0.25,,0.38,0.44,0.85,0.48,,0.6
h_1,0.35,0.26,0.25,0.29,0.31,0.26,26.78,1.29,1.28,1.83,1.38,1.33,,1.69,1.15,2.52
d_0,0.38,0.33,0.76,,0.25,0.26,1.5,16.54,1.24,1.75,1.81,1.75,3.6,2.24,2.56,3.17
g_1,0.28,0.15,0.26,0.39,0.33,0.24,1.06,1.24,35.7,1.54,1.55,2.0,2.02,1.62,1.53,
c_0,0.38,0.33,,0.39,0.26,0.31,1.3,1.28,1.41,19.1,5.18,2.51,3.62,1.98,2.0,2.97
b_0,0.31,0.45,0.26,0.25,,0.38,1.73,2.31,1.56,2.25,21.77,2.03,2.78,1.76,3.66,3.12
f_0,,0.23,0.36,0.43,0.4,0.29,1.57,2.95,1.78,1.43,2.22,24.89,2.25,3.51,1.59,3.26
h_0,0.54,0.37,0.48,0.61,0.71,0.5,,3.32,2.78,4.32,3.2,2.93,,4.26,,6.76
e_0,0.23,,0.55,0.3,0.42,0.5,2.3,1.58,1.85,2.47,1.51,1.44,3.15,30.72,2.02,3.21
a_0,0.29,0.31,0.44,0.31,0.4,,1.65,2.93,1.65,2.14,1.4,,3.56,,32.78,3.25
g_0,0.36,0.48,0.53,1.03,0.65,,2.31,2.8,,2.9,2.38,6.19,3.04,4.38,,
