,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.66,1.14,0.52,0.61,0.54,0.49,0.93,0.83,0.8,0.81,0.34,0.87,0.78,0.75,0.65,0.77
e_1,0.64,2.71,0.76,0.51,0.51,0.6,0.79,1.68,0.95,0.97,1.12,1.05,1.19,0.59,1.0,0.8
c_1,0.67,0.48,3.08,0.63,1.19,0.56,0.84,0.71,0.71,0.23,0.85,0.71,0.97,0.68,0.94,1.14
d_1,0.6,0.58,0.48,3.25,0.55,0.53,0.95,0.38,1.02,1.99,1.29,1.08,0.9,1.18,0.96,0.99
b_1,0.68,0.52,0.58,0.59,3.66,1.19,0.8,0.92,0.83,0.68,0.86,0.37,1.02,0.9,0.98,1.04
a_1,0.65,0.54,0.78,0.7,0.5,4.74,0.76,1.04,0.73,0.79,0.88,0.89,1.1,1.12,0.47,0.9
h_1,1.07,0.66,0.84,0.69,0.65,0.61,3.22,0.97,1.54,1.18,0.85,1.21,0.58,0.95,1.05,1.51
d_0,0.85,0.7,1.34,0.38,0.74,0.75,1.27,2.23,0.91,1.01,1.38,1.08,1.13,1.01,1.0,1.27
g_1,0.76,0.65,0.66,1.22,0.65,0.64,1.13,0.88,3.77,0.99,1.72,1.21,0.97,1.33,1.2,0.61
c_0,0.73,0.89,0.48,0.86,0.63,0.58,1.24,1.13,1.43,2.41,1.23,2.37,1.13,1.43,1.4,1.11
f_0,0.41,0.57,0.87,0.97,0.81,0.82,1.2,1.19,1.0,1.34,2.76,1.23,1.13,2.81,1.15,1.4
b_0,0.79,0.84,0.89,0.74,0.35,0.66,1.3,1.05,1.4,1.17,1.19,3.01,1.24,1.22,2.5,1.37
h_0,1.08,0.67,0.82,0.75,0.73,0.82,0.9,1.12,1.46,1.04,1.0,1.29,0.83,1.21,1.24,1.47
e_0,0.62,0.47,0.93,0.7,0.87,0.73,1.53,1.43,1.23,1.31,1.21,1.43,1.51,3.88,1.86,1.46
a_0,0.95,0.54,0.94,0.87,0.72,0.39,1.25,1.21,0.97,1.09,1.2,1.34,1.25,1.27,4.0,1.44
g_0,0.49,0.7,0.79,1.25,0.85,0.71,1.31,0.67,0.74,1.11,1.77,1.2,1.13,1.4,1.08,0.78
