,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8859.38,6218.85,5131.8,7676.54,13625.77,46047.66,4282189.94,14563956.17,12246923.4,16842909.97,51164147.6,51689750.46,194155000.74,148668073.45,163534880.79,525333245.48
e_1,3908.33,10402.79,4785.15,8482.77,12292.78,51931.67,4874747.93,26240821.79,12421802.01,16929150.47,50455981.68,96593829.66,237328431.85,159455035.98,220915221.15,593444962.56
d_1,3986.84,3742.62,16452.68,4688.63,12179.16,58265.08,4710420.07,8785175.9,13829492.62,37672432.27,65814473.28,103423852.18,285533713.44,252071261.41,295080452.9,599015307.32
c_1,3430.27,3580.27,5173.19,21927.77,25043.91,48364.17,4780683.66,15219821.22,12448362.72,10345731.96,41617192.28,87754181.74,238718058.81,204877994.25,195367216.95,511069798.69
b_1,2886.91,3848.77,6234.69,7605.43,48252.0,115213.19,4777394.6,12966977.93,12983529.9,16180637.3,29088569.3,88349316.38,203524382.14,172359459.0,162576895.11,598617539.55
a_1,3534.21,3788.08,6364.66,7814.65,13085.64,257192.03,4503217.96,13992966.49,14548625.38,19329457.7,54148398.37,119321507.6,280637647.12,275888647.44,173490260.56,717532642.65
h_1,5182.37,3801.2,7241.32,7504.28,14348.83,49676.45,9824138.46,15179269.27,20703905.87,20989112.34,57445365.03,91802048.28,202933634.49,252669650.16,227983534.91,822263784.79
d_0,4027.07,3888.27,3730.22,14564.03,17909.51,48809.75,5087363.25,25514226.84,13563300.61,14991720.71,49408462.92,108654027.01,254398072.05,271237592.75,203883291.2,668962826.27
g_1,3303.94,3844.69,9886.78,7448.45,15507.43,52145.89,4350525.94,13984378.96,34499552.83,20538038.18,64699636.38,165328858.4,264109351.84,263197552.25,246277709.61,504026124.64
c_0,4190.63,3803.9,7538.38,6250.99,13526.99,59217.07,5663213.18,14087831.91,19518078.45,36593804.82,114485584.27,118799475.11,268985440.72,252278520.67,344193950.68,732228835.71
b_0,4157.13,4790.09,7269.56,8248.7,9522.1,34154.03,5667792.84,16872504.0,16876358.66,21798837.83,107033099.55,114808795.07,273513815.15,278281388.58,529473438.45,654552983.0
f_0,3137.05,3211.07,8099.91,7843.77,18213.42,60101.93,5039315.33,13941897.27,17808317.39,24067428.12,66181375.78,195644273.72,340922771.32,525688533.89,268496831.83,829584308.83
h_0,4818.51,3659.03,6659.77,7767.82,14623.58,66573.82,4097395.02,14735653.2,17913048.43,21819926.1,67930989.41,109813287.56,216658079.9,274925526.08,242196296.79,801831090.55
e_0,4077.59,2752.07,7580.45,7060.96,19437.68,57920.72,6029397.1,16350591.84,18407764.88,22422541.37,74704734.79,122917004.49,268783347.98,549887117.43,233179980.18,925029422.25
a_0,4023.94,3890.86,7680.19,8859.51,15699.67,31373.73,5545284.92,15396807.31,14406076.87,23592413.09,69765578.77,124146174.53,271343189.39,236660278.39,522044731.74,611323792.1
g_0,3076.81,3366.29,10496.38,7246.26,16972.3,62778.89,5099735.43,12727630.89,14194912.87,21440662.06,62781177.77,171499249.84,272410484.83,246908452.93,292175002.63,580170698.12
