,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.2,0.93,1.04,0.96,1.06,1.35,1.01,1.07,1.06,1.16,1.02,1.08,1.1,1.1
f_1,1.28,1.0,0.97,1.0,0.85,0.92,0.88,0.98,0.92,1.11,0.98,0.86,0.85,1.0,0.75,1.08
c_1,0.82,1.03,1.0,1.06,1.42,0.95,0.94,0.76,0.88,0.95,0.74,0.95,0.98,0.98,0.97,1.02
d_1,1.08,1.01,0.96,1.0,1.01,0.92,0.97,0.98,1.2,0.82,1.1,1.0,1.01,0.96,1.03,0.83
b_1,0.98,1.19,0.74,1.01,1.0,1.51,1.09,0.95,1.27,1.06,1.02,0.97,1.02,0.85,0.99,1.02
a_1,1.03,1.08,1.04,1.04,0.67,1.0,1.19,1.09,0.96,1.11,1.12,1.13,1.17,0.98,1.14,1.04
h_1,0.95,1.13,1.06,0.99,0.91,0.86,1.0,0.95,0.89,1.19,0.96,0.93,1.01,0.99,0.97,1.11
d_0,0.76,0.96,1.29,0.98,1.09,0.94,1.03,1.0,0.84,1.02,0.98,0.99,1.11,0.97,1.05,1.13
c_0,1.0,1.06,1.12,0.83,0.84,1.0,1.09,1.19,1.0,0.97,1.31,0.98,1.14,1.18,1.08,1.02
g_1,0.95,0.91,1.03,1.19,0.93,0.92,0.86,0.97,0.99,1.0,1.01,1.19,0.93,0.91,1.0,0.92
b_0,0.92,0.99,1.31,0.91,1.03,0.8,1.04,1.03,0.72,1.03,1.0,0.93,1.08,1.34,0.94,1.01
f_0,0.85,1.13,1.06,0.96,1.05,0.93,1.06,1.0,1.01,0.82,1.04,1.0,1.13,1.0,1.38,0.83
h_0,0.98,1.15,1.02,0.99,0.99,0.85,0.97,0.91,0.87,1.06,0.94,0.93,1.0,0.94,0.94,1.1
a_0,0.91,1.05,0.98,1.08,1.19,1.03,1.05,0.96,0.84,1.06,0.75,0.99,1.07,1.0,0.92,0.92
e_0,0.91,1.23,0.96,0.94,0.99,0.92,1.0,0.93,0.89,0.99,1.04,0.72,1.02,1.13,1.0,0.97
g_0,0.9,0.99,0.94,1.17,0.99,0.95,0.89,0.88,0.93,1.11,0.98,1.19,0.87,1.03,1.09,1.0
