,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.13,5.04,4.83,5.12,4.47,4.41,1.14,1.07,2.09,0.83,2.14,1.0,0.97,0.59,1.14,0.91
e_1,2.85,1.13,4.28,6.63,6.67,5.5,1.58,1.15,1.58,1.21,1.25,1.17,0.93,0.85,2.02,0.82
d_1,5.45,6.96,1.12,6.2,5.16,5.47,1.45,2.92,0.91,1.18,1.03,0.93,0.9,0.65,1.03,0.47
c_1,5.85,4.82,8.13,1.13,6.03,5.52,1.66,0.57,1.92,2.91,0.99,1.2,1.21,0.72,1.05,0.79
b_1,7.9,5.81,8.4,3.48,1.13,6.27,2.0,1.53,1.94,1.69,1.55,2.76,1.46,1.11,1.18,1.26
a_1,12.37,9.31,8.87,10.55,5.31,1.15,3.59,2.79,2.72,2.26,2.13,3.81,12.71,1.6,1.66,1.62
h_1,18.27,15.93,15.61,17.61,17.98,16.23,1.76,3.42,4.54,2.93,3.35,2.99,2.96,4.83,3.18,2.28
d_0,26.54,11.53,39.39,22.6,24.96,20.64,7.25,2.46,7.35,5.26,4.56,4.81,4.75,3.34,4.64,4.04
g_1,24.08,23.74,22.82,22.13,23.54,21.58,4.44,5.67,1.83,4.32,4.24,5.48,3.98,2.62,4.75,5.81
c_0,25.25,23.43,11.99,57.95,30.8,21.34,6.23,6.31,8.28,2.37,4.21,4.94,4.86,3.69,4.7,3.8
f_0,58.65,24.05,24.51,25.7,22.62,23.16,8.84,5.97,5.59,4.21,2.4,5.48,4.1,3.8,5.75,2.09
b_0,29.32,24.38,20.94,37.94,68.93,24.04,8.11,5.43,6.96,2.71,4.6,2.3,5.63,4.44,5.92,3.94
a_0,52.7,33.63,34.83,41.39,49.07,63.3,10.78,8.29,9.91,5.39,5.91,3.41,2.81,5.75,6.53,4.6
h_0,32.18,37.83,37.18,37.49,35.3,36.52,14.73,7.8,10.38,6.86,6.95,7.37,7.04,11.5,7.0,5.52
e_0,58.65,78.96,29.28,32.52,35.74,43.16,13.19,6.84,10.72,6.93,3.5,8.25,6.46,5.08,2.64,4.53
g_0,45.45,44.84,42.42,40.34,43.21,52.75,9.21,8.19,18.69,8.64,9.59,9.7,8.04,4.65,8.56,11.41
