,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.43,2.32,3.17,2.7,3.18,5.06,1.91,2.21,2.11,1.53,1.71,1.66,1.87,1.58,1.38,
f_1,4.42,0.43,3.4,3.53,4.28,4.26,1.79,1.64,1.67,1.87,1.26,,1.75,0.97,1.5,1.0
d_1,5.42,3.56,0.4,3.07,3.42,4.42,1.73,,1.23,2.23,1.51,1.52,1.94,1.32,0.87,1.56
c_1,4.93,3.53,4.23,0.39,4.29,3.28,2.0,0.93,2.12,,1.69,1.45,1.55,1.42,1.14,1.51
b_1,4.93,3.31,4.01,2.24,0.34,4.34,1.88,1.2,2.19,1.3,,1.67,,2.45,1.07,1.8
a_1,3.16,4.03,3.21,4.38,2.69,0.3,1.89,1.79,2.0,1.44,1.8,1.3,,1.17,2.07,
h_1,1.96,1.62,1.69,1.94,1.51,1.72,0.27,0.77,1.11,1.04,0.8,0.83,0.75,,0.61,0.99
d_0,0.97,1.77,,1.82,2.17,1.42,1.06,0.29,1.1,0.62,0.8,0.75,0.54,0.54,0.71,0.59
g_1,1.95,2.04,2.09,1.55,1.59,1.65,0.74,0.72,0.23,0.89,0.97,1.39,,0.47,,1.03
c_0,1.4,1.36,0.96,,2.34,1.92,0.69,0.78,0.85,0.28,0.78,0.83,0.72,0.67,0.82,0.61
b_0,1.28,2.08,1.72,1.76,,1.95,0.85,0.74,0.76,0.56,0.26,0.83,0.93,0.58,0.45,0.86
f_0,1.66,,1.57,1.8,1.53,1.96,0.83,0.81,0.49,0.59,0.79,0.26,0.9,0.72,0.42,0.88
a_0,1.47,1.75,1.51,1.71,,,0.78,0.91,,0.93,0.47,0.51,0.23,0.62,0.88,
h_0,1.11,1.39,1.46,1.37,0.96,0.95,,0.58,1.0,0.48,0.62,0.54,0.54,,0.57,0.64
g_0,1.33,1.31,1.71,2.2,1.74,0.81,0.74,0.6,,0.44,0.68,0.61,0.44,0.38,,0.4
e_0,,2.82,1.49,1.79,1.15,,0.65,0.76,0.71,0.88,0.74,0.44,,0.54,0.81,0.22
