,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.31,0.91,0.95,0.79,0.6,0.4,0.4,0.39,0.36,0.38,0.29,0.27,0.33,0.24,0.33
e_1,0.78,1.0,0.98,1.15,0.86,0.72,0.51,0.48,0.6,0.39,0.44,0.44,0.38,0.33,0.33,0.29
d_1,1.09,1.02,1.0,0.82,0.98,0.68,0.49,0.41,0.45,0.57,0.42,0.42,0.36,0.37,0.33,0.25
c_1,1.06,0.86,1.21,1.0,1.35,0.66,0.6,0.49,0.33,0.41,0.37,0.41,0.33,0.34,0.32,0.29
b_1,1.27,1.17,1.01,0.75,1.0,1.39,0.56,0.48,0.47,0.51,0.48,0.41,0.36,0.33,0.37,0.3
a_1,1.68,1.39,1.48,1.52,0.72,1.0,0.67,0.59,0.64,0.62,0.64,0.51,0.62,0.52,0.43,0.32
h_1,2.51,2.01,2.03,1.72,1.8,1.43,1.0,0.98,0.92,0.87,0.74,0.68,0.7,0.6,0.54,0.72
g_1,2.44,2.14,2.5,1.99,2.13,1.64,1.0,1.0,0.85,0.96,1.01,1.11,0.73,0.81,0.61,0.66
d_0,2.5,1.62,2.08,3.05,2.12,1.65,1.1,1.22,1.0,0.79,0.99,0.85,0.94,0.78,0.74,0.79
c_0,2.82,2.53,1.7,2.36,1.94,1.59,1.12,1.02,1.2,1.0,1.23,0.84,0.82,0.85,0.67,0.68
b_0,2.83,2.1,2.34,2.86,2.15,1.49,1.29,0.99,0.96,0.81,1.0,0.91,0.87,1.19,0.78,0.78
f_0,3.32,2.31,2.42,2.46,2.41,1.86,1.54,0.86,1.15,1.21,1.09,1.0,0.99,0.89,1.13,0.62
h_0,3.65,2.55,2.86,3.12,2.58,1.58,1.39,1.39,1.05,1.27,1.09,0.99,0.99,0.89,0.93,1.01
a_0,3.09,2.9,2.7,2.91,3.07,2.27,1.72,1.24,1.2,1.18,0.83,1.14,1.09,1.0,0.93,0.96
e_0,4.43,3.2,2.88,3.2,2.63,2.17,1.89,1.57,1.28,1.53,1.29,0.85,1.06,1.1,1.0,0.93
g_0,3.16,3.53,3.96,3.51,3.18,3.11,1.43,1.58,1.27,1.47,1.29,1.62,0.95,1.0,1.08,1.0
