,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.39,0.47,0.25,0.3,0.25,0.25,0.45,0.63,0.71,0.57,,0.62,0.5,0.72,0.52,0.91
e_1,0.2,2.39,0.24,0.3,0.36,0.29,0.5,0.93,0.54,0.67,0.59,0.58,0.54,0.92,,0.71
d_1,0.28,0.36,2.51,0.29,0.23,0.27,0.41,,0.42,1.26,0.59,0.62,0.56,0.65,0.66,0.73
c_1,0.28,0.18,0.24,2.55,0.49,0.24,0.64,0.67,0.44,,0.58,0.54,0.66,0.75,0.73,0.83
b_1,0.33,0.2,0.29,0.22,2.68,0.49,0.51,0.66,0.52,0.54,0.8,,0.62,0.74,0.73,0.72
a_1,0.32,0.26,0.27,0.28,0.24,3.31,0.62,0.69,0.51,0.68,0.52,0.79,,0.62,0.6,0.72
h_1,0.61,0.59,0.61,0.5,0.61,0.46,3.68,1.22,1.2,1.22,0.9,1.1,1.1,,0.97,2.07
d_0,0.71,0.54,,0.93,0.49,0.49,1.34,3.4,1.13,1.64,1.5,1.03,1.49,1.76,1.68,1.67
g_1,0.33,0.5,0.86,0.51,0.47,0.64,1.01,1.22,4.28,0.98,1.21,1.58,1.21,1.61,0.98,
c_0,0.77,0.57,0.34,,0.57,0.46,1.41,1.02,1.43,3.54,1.64,2.22,1.74,2.08,1.12,1.75
f_0,,0.55,0.69,0.73,0.5,0.64,1.45,1.45,1.31,1.37,3.72,1.55,1.28,1.89,1.92,1.38
b_0,0.66,0.6,0.75,0.69,,0.43,1.42,1.55,0.82,1.13,1.2,3.83,2.78,1.44,1.19,1.53
a_0,0.74,0.84,0.7,0.45,0.62,,1.28,1.36,1.42,1.11,1.66,0.9,4.33,,,1.58
h_0,0.85,0.71,0.85,0.85,0.8,0.85,,1.6,1.78,1.6,1.63,1.65,,,1.9,2.36
e_0,0.74,,0.6,0.61,0.67,0.7,1.39,1.37,1.16,1.57,1.6,1.28,,1.63,4.52,
g_0,0.65,0.65,1.1,0.61,0.68,0.66,1.33,1.6,,1.3,2.61,1.91,1.69,2.36,,
