,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.93,0.09,0.07,0.1,0.09,0.07,0.07,0.07,0.1,0.06,0.06,0.05,0.07,,0.05,0.05
d_1,0.12,0.93,0.11,0.09,0.09,0.08,0.07,0.07,,0.1,0.05,0.06,0.06,0.05,0.04,0.03
f_1,0.21,0.1,0.93,0.09,0.09,0.05,0.06,0.07,0.08,0.06,,0.06,0.04,0.03,0.04,0.05
c_1,0.1,0.11,0.1,0.93,0.14,0.07,0.07,0.08,0.07,,0.06,0.05,0.07,0.04,0.04,0.05
b_1,0.11,0.12,0.11,0.07,0.93,0.11,0.09,0.07,0.09,0.09,0.06,,0.06,0.04,,0.05
a_1,0.13,0.08,0.14,0.14,0.08,0.93,0.1,0.08,0.06,0.06,0.07,0.07,0.07,0.06,,0.07
h_1,0.27,0.29,0.4,0.24,0.26,0.17,0.71,0.25,0.18,0.19,0.11,0.12,,0.17,0.11,0.2
g_1,0.28,0.43,0.24,0.24,0.27,0.21,0.14,0.71,0.21,0.2,0.26,0.18,0.13,0.14,0.11,
d_0,0.39,,0.3,0.55,0.26,0.28,0.25,0.19,0.58,0.2,0.2,0.16,0.21,0.17,0.13,0.15
c_0,0.49,0.31,0.35,,0.23,0.22,0.21,0.23,0.19,0.59,0.27,0.29,0.24,0.13,0.13,0.15
f_0,0.33,0.48,,0.3,0.34,0.22,0.32,0.11,0.29,0.18,0.59,0.22,0.25,0.22,0.16,0.16
b_0,0.33,0.4,0.47,0.37,,0.25,0.32,0.19,0.28,0.19,0.18,0.58,0.17,0.11,0.27,0.14
h_0,0.32,0.43,0.72,0.35,0.38,0.35,,0.41,0.3,0.32,0.29,0.38,,0.2,0.17,0.26
e_0,,0.34,0.37,0.37,0.37,0.26,0.2,0.29,0.24,0.28,0.16,0.36,0.27,0.59,,0.24
a_0,0.38,0.46,0.45,0.35,,,0.26,0.23,0.31,0.27,0.26,0.22,0.23,,0.57,0.17
g_0,0.4,0.86,0.49,0.52,0.32,0.29,0.29,,0.31,0.29,0.39,0.27,0.37,0.23,0.22,
