,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.15,0.9,0.95,0.86,0.77,0.93,0.73,0.64,0.71,0.61,0.64,0.59,0.6,0.61
f_1,1.27,1.0,0.98,0.85,0.95,0.87,0.6,0.63,0.61,0.63,0.49,0.55,0.46,0.5,0.58,0.46
c_1,0.86,1.01,1.0,1.13,1.34,0.86,0.66,0.48,0.63,0.55,0.62,0.54,0.69,0.57,0.65,0.53
d_1,1.1,1.18,0.88,1.0,0.94,0.75,0.71,0.76,0.58,0.87,0.63,0.74,0.65,0.57,0.52,0.53
b_1,1.05,1.05,0.75,1.07,1.0,1.33,0.81,0.66,0.81,0.68,0.72,0.69,0.64,0.58,0.52,0.54
a_1,1.17,1.15,1.16,1.33,0.76,1.0,0.84,0.84,0.81,0.8,0.84,1.0,0.71,0.68,0.75,0.92
h_1,1.33,1.7,1.47,1.38,1.21,1.18,1.0,0.84,1.07,0.78,0.8,0.77,0.78,0.79,0.86,0.72
d_0,1.07,1.53,2.16,1.39,1.57,1.15,1.16,1.0,1.0,0.73,0.9,0.82,0.91,0.88,0.87,0.86
g_1,1.47,1.54,1.59,1.8,1.25,1.2,0.95,1.02,1.0,0.92,1.13,0.86,0.78,0.88,0.79,0.79
c_0,1.67,1.61,1.69,1.17,1.37,1.24,1.28,1.43,1.09,1.0,0.99,1.3,0.87,0.99,0.86,0.85
f_0,1.43,1.93,1.66,1.55,1.51,1.19,1.23,1.05,0.83,0.97,1.0,1.05,1.01,0.91,0.72,1.37
b_0,1.73,1.75,1.76,1.33,1.43,1.08,1.28,1.21,1.18,0.76,0.93,1.0,0.93,1.31,0.81,0.9
h_0,1.59,2.1,1.41,1.59,1.58,1.37,1.31,1.11,1.29,1.12,0.96,1.07,1.0,0.96,1.13,0.86
a_0,1.74,1.8,1.81,1.68,1.79,1.39,1.27,1.12,1.08,1.03,0.99,0.8,1.02,1.0,0.99,0.94
g_0,1.69,1.66,1.55,1.98,1.82,1.35,1.17,1.17,1.27,1.14,1.37,1.16,0.84,1.03,1.0,1.05
e_0,1.75,2.08,1.97,1.89,1.85,1.2,1.31,1.16,1.34,1.2,0.74,1.1,1.16,1.06,0.95,1.01
