,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.37,1.58,1.51,2.08,1.66,1.72,3.47,5.32,3.4,3.27,3.58,3.94,4.66,3.58,3.72,4.92
f_1,2.27,2.45,1.49,1.69,1.69,1.53,2.76,3.62,3.11,3.27,3.74,2.69,4.06,2.79,3.89,4.31
d_1,1.67,1.79,2.61,1.46,1.5,1.46,3.43,3.1,3.09,5.29,4.26,3.9,4.81,4.43,4.29,4.21
c_1,1.4,1.65,1.75,2.63,2.58,1.75,3.29,2.72,3.25,2.75,2.83,3.61,4.4,3.39,3.35,4.41
b_1,1.64,1.62,1.68,1.47,2.74,2.89,3.22,3.52,3.37,3.5,3.45,4.02,5.03,3.57,3.27,4.46
a_1,1.6,1.87,1.84,1.7,1.37,3.38,3.51,3.39,3.32,3.97,4.0,3.88,4.64,4.06,3.53,5.29
h_1,1.68,2.05,1.75,1.72,1.7,1.49,4.38,3.68,4.17,3.57,3.64,3.33,4.17,3.71,3.51,5.35
d_0,1.39,1.72,1.5,2.72,1.89,1.73,3.36,4.41,3.17,2.83,3.4,4.09,4.57,3.99,3.71,5.13
g_1,1.59,1.7,2.27,1.58,1.61,1.64,2.84,3.39,4.82,3.91,3.81,5.05,4.58,4.24,4.07,4.74
c_0,1.84,1.93,1.69,1.61,1.49,1.53,3.8,3.95,3.41,4.58,5.76,3.93,4.78,4.4,5.25,4.45
b_0,1.93,1.84,1.8,1.96,1.3,1.36,3.64,4.1,3.57,3.47,4.88,3.92,5.04,4.36,7.2,4.67
f_0,1.53,1.84,1.87,1.74,1.75,1.79,3.96,3.74,3.38,3.9,4.01,4.92,4.93,6.53,3.46,4.83
h_0,1.67,2.15,1.84,1.7,1.6,1.56,2.98,3.57,3.89,3.6,3.74,3.99,4.12,4.02,4.24,6.06
e_0,1.61,2.21,1.66,1.86,1.73,1.53,3.8,3.63,3.3,3.75,3.73,3.64,4.9,5.83,4.04,4.85
a_0,1.74,1.91,1.81,1.76,1.67,1.07,3.81,3.94,3.83,3.68,3.29,4.36,4.79,4.47,5.81,4.81
g_0,1.64,1.6,2.27,1.78,1.85,1.57,3.32,2.95,2.95,3.94,3.67,5.07,4.09,4.07,3.7,4.29
