,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.67,1.34,2.01,2.16,2.27,1.82,1.1,1.0,0.88,0.65,0.8,0.76,0.64,0.66,0.69,1.41
f_1,2.21,0.66,1.91,2.09,1.83,1.89,0.76,0.89,0.75,0.88,0.71,1.34,0.42,0.6,0.69,0.66
d_1,2.25,2.48,0.65,1.81,2.1,2.18,0.89,0.66,1.9,0.84,0.79,0.69,0.68,0.38,0.71,0.74
c_1,1.96,2.29,2.66,0.65,2.27,1.89,1.05,0.87,0.54,1.47,0.56,0.71,0.68,0.68,0.63,0.61
b_1,2.12,2.63,2.14,1.52,0.63,2.18,0.88,1.2,0.74,1.18,1.74,0.84,0.7,0.64,0.84,0.8
a_1,2.94,2.69,3.05,2.68,1.71,0.57,1.3,1.34,1.0,0.85,1.02,0.89,0.73,0.75,1.27,0.67
h_1,2.25,2.81,2.75,2.49,3.43,2.15,0.6,1.16,1.05,0.81,0.82,1.04,1.17,0.84,0.91,0.89
g_1,2.81,2.85,3.18,2.96,3.09,2.35,1.22,0.57,1.0,0.8,0.94,1.03,0.73,1.53,1.06,0.96
d_0,1.79,2.77,3.87,3.69,2.98,2.68,1.39,1.51,0.67,0.94,0.9,1.24,0.87,0.98,0.97,1.14
c_0,3.73,2.7,1.77,4.96,2.36,3.59,1.62,1.53,1.38,0.65,1.76,1.1,0.96,1.25,0.83,0.86
b_0,2.99,2.96,2.86,5.06,4.28,2.67,1.36,1.65,1.29,0.63,0.63,1.04,1.06,0.87,1.08,1.15
f_0,3.21,6.04,3.19,3.52,2.59,2.61,1.16,1.0,1.02,0.94,1.41,0.63,1.12,0.76,1.24,1.15
h_0,3.44,4.35,3.15,3.11,2.83,3.18,2.64,1.66,1.19,1.44,1.13,1.01,1.7,1.14,0.99,1.15
g_0,3.8,4.17,3.94,3.53,3.41,3.33,1.31,2.26,1.28,0.96,1.12,1.1,0.91,1.53,1.05,1.11
a_0,3.98,4.9,3.3,3.53,3.74,5.61,1.45,1.45,1.41,1.25,0.83,1.08,1.06,1.26,0.6,1.14
e_0,4.58,3.93,3.5,3.97,3.69,3.87,1.5,1.43,1.34,1.58,1.18,0.74,1.11,1.16,1.45,0.58
