,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.14,0.14,0.17,0.13,0.16,0.21,0.34,0.13,0.18,0.16,0.18,0.23,0.17,,0.25
f_1,0.27,1.5,0.18,0.21,0.16,0.17,0.15,0.22,0.17,0.17,0.19,,0.17,0.15,0.16,0.16
d_1,0.17,0.18,1.53,0.12,0.15,0.13,0.2,,0.21,0.36,0.21,0.17,0.23,0.12,0.19,0.18
c_1,0.16,0.14,0.21,1.53,0.23,0.14,0.22,0.17,0.2,,0.18,0.22,0.28,0.17,0.13,0.14
b_1,0.19,0.16,0.21,0.14,1.59,0.25,0.19,0.23,0.16,0.17,,0.21,0.21,0.15,0.16,0.2
a_1,0.15,0.17,0.21,0.17,0.16,1.74,0.23,0.26,0.19,0.2,0.26,0.16,0.26,,,0.23
h_1,0.44,0.63,0.31,0.33,0.35,0.23,1.63,0.48,0.43,0.37,0.53,0.41,,0.48,0.31,0.52
d_0,0.41,0.48,,0.7,0.36,0.35,0.54,1.39,0.46,0.58,0.55,0.51,0.67,0.37,0.48,0.65
g_1,0.41,0.36,0.44,0.36,0.43,0.32,0.48,0.51,1.73,0.39,0.38,0.71,0.54,0.37,0.31,
c_0,0.56,0.53,0.37,,0.49,0.33,0.57,0.5,0.52,1.44,0.86,0.52,0.55,0.42,0.57,0.5
b_0,0.6,0.49,0.37,0.47,,0.26,0.48,0.53,0.49,0.5,1.47,0.5,0.7,0.85,0.48,0.65
f_0,0.43,,0.61,0.49,0.4,0.36,0.56,0.52,0.46,0.63,0.62,1.47,0.53,0.54,,0.53
h_0,0.44,0.82,0.55,0.55,0.58,0.4,,0.72,0.81,0.79,0.67,0.78,,0.42,0.63,0.89
a_0,0.49,0.5,0.57,0.46,0.47,,0.58,0.76,0.53,0.68,0.37,0.46,0.87,1.61,,0.54
e_0,,0.56,0.47,0.51,0.49,,0.89,0.58,0.61,0.51,0.49,,0.66,,1.62,0.63
g_0,0.55,0.52,0.83,0.78,0.57,0.37,0.79,0.68,,0.76,0.66,1.02,0.63,0.51,0.46,
