,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.68,1.61,1.39,1.84,1.59,1.51,5.71,5.81,7.66,12.55,6.67,7.42,7.18,11.51,3.55,10.4
f_1,2.76,6.1,1.26,1.6,1.3,1.42,4.97,4.63,6.04,6.75,3.19,6.76,7.65,9.96,5.4,9.31
d_1,1.32,1.53,6.21,1.15,1.47,1.58,6.19,5.73,14.38,4.09,7.99,8.99,7.45,8.95,8.86,11.42
c_1,1.41,1.34,1.49,7.11,2.92,1.38,5.7,5.28,2.26,6.9,7.52,5.06,6.98,9.14,7.07,10.05
b_1,1.37,1.72,1.41,1.63,7.71,2.87,5.48,5.62,5.82,6.35,7.43,3.18,4.55,11.74,6.3,9.8
a_1,1.78,1.56,1.59,1.32,1.24,10.75,5.83,5.44,7.27,7.7,8.01,7.49,4.19,13.03,9.64,11.49
h_1,1.5,2.82,1.89,1.88,1.73,1.75,15.86,8.71,7.91,7.82,7.18,10.66,9.28,9.56,9.56,17.69
g_1,1.65,1.7,2.86,2.03,1.89,1.4,5.18,18.21,8.34,7.12,13.58,8.48,7.54,15.1,7.41,11.02
c_0,1.55,2.12,2.5,1.5,1.32,1.83,7.31,6.51,16.4,8.09,9.56,20.12,10.52,16.0,11.84,16.01
d_0,1.77,2.12,1.17,3.41,1.87,1.22,6.79,7.53,7.13,16.54,8.78,9.01,10.27,15.11,10.95,12.12
f_0,1.5,1.23,2.33,2.12,1.59,1.8,7.69,6.41,10.32,10.21,20.51,9.46,9.4,13.97,22.97,15.52
b_0,1.68,2.23,2.05,2.33,0.79,1.42,6.73,6.95,9.1,9.51,11.17,20.02,20.31,14.22,10.75,16.34
a_0,1.7,2.45,2.26,2.04,1.61,0.95,7.52,7.39,8.68,8.71,9.72,9.42,24.95,15.16,9.43,15.2
h_0,1.76,2.9,2.17,1.67,1.69,1.8,4.13,9.39,8.0,7.79,8.56,8.03,8.07,9.52,7.76,16.63
e_0,1.26,2.31,1.92,1.96,2.21,1.55,6.86,6.15,9.1,9.0,9.91,10.98,11.53,14.74,26.06,13.95
g_0,1.7,1.5,3.15,1.93,1.58,1.56,6.34,4.56,8.72,7.73,13.81,10.28,9.29,13.31,10.74,9.99
