,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.35,0.4,0.23,0.29,0.28,0.29,0.57,0.56,0.6,0.63,0.67,,0.63,0.77,0.48,0.65
e_1,0.26,2.42,0.29,0.29,0.26,0.21,0.46,0.61,0.7,0.92,0.71,0.65,0.61,0.71,,0.46
d_1,0.3,0.26,2.45,0.41,0.23,0.3,0.55,0.53,0.86,,0.56,0.5,0.55,0.77,0.63,0.77
c_1,0.29,0.26,0.17,2.59,0.48,0.28,0.6,0.59,,0.39,0.67,0.65,0.54,0.89,0.67,0.93
b_1,0.26,0.28,0.32,0.21,2.73,0.39,0.77,0.6,0.6,0.63,,0.66,0.52,0.68,0.61,0.61
a_1,0.24,0.28,0.3,0.29,0.27,3.34,0.57,0.49,0.56,0.72,,,,0.83,,0.88
h_1,0.64,0.56,0.51,0.54,0.49,0.57,3.71,1.14,1.17,1.19,1.13,1.03,1.42,,1.2,1.85
g_1,0.42,0.52,0.73,0.37,0.42,0.59,0.99,4.19,1.4,1.19,0.96,1.48,1.12,1.58,1.74,
c_0,0.6,0.66,0.53,,0.55,0.72,1.17,0.98,3.59,1.38,2.39,1.41,1.39,1.65,1.18,1.62
d_0,0.73,0.52,,1.11,0.6,0.6,1.19,1.09,1.38,3.56,1.3,1.29,1.53,1.63,1.06,1.87
b_0,0.62,0.51,0.68,0.51,,,1.36,1.24,1.18,1.63,3.8,1.01,2.26,2.2,1.37,2.14
f_0,,0.58,0.7,0.56,0.73,,1.08,1.06,1.3,1.68,1.79,3.95,1.15,1.38,2.31,1.46
a_0,0.6,0.74,0.74,0.64,0.52,,1.15,1.33,1.1,1.4,1.06,1.57,4.36,2.32,,1.3
h_0,0.92,0.73,0.85,0.66,0.87,0.61,,1.78,1.65,1.69,1.16,1.86,1.47,,1.59,3.02
e_0,0.79,,0.53,0.67,0.57,,1.2,1.02,1.63,1.15,1.19,1.3,,2.34,4.77,1.62
g_0,0.68,0.77,1.07,0.62,0.77,0.67,1.37,,1.76,1.67,1.15,3.0,1.77,1.51,1.62,
