,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,88.26,72.83,98.53,151.12,155.01,587.77,15813.44,36670.08,28574.57,28921.23,48687.41,65342.37,148650.78,189095.05,230026.54,412356.45
f_1,78.63,105.38,90.54,114.19,147.07,486.05,11711.93,23246.29,24333.13,26940.21,47428.94,41533.76,120529.76,137048.56,224031.96,336737.95
d_1,51.82,68.44,140.95,88.01,116.12,413.75,12988.55,17758.39,21551.19,38806.58,48136.49,53659.65,127367.44,194246.38,220383.79,293378.5
c_1,41.8,61.15,91.3,153.02,193.03,479.13,11995.27,14987.06,21842.28,19478.61,30849.17,47878.34,112340.76,143232.17,165760.48,295894.84
b_1,44.9,55.04,80.4,78.39,188.71,727.14,10798.27,17881.06,20868.08,22804.84,34572.64,49006.56,118265.95,138942.02,148836.76,275473.49
a_1,28.42,41.32,57.11,58.95,61.09,551.71,7648.44,11151.04,13340.4,16756.78,25976.04,30722.51,70664.28,102318.21,104364.08,212030.73
h_1,12.63,19.07,22.98,25.2,32.01,102.68,4020.42,5111.73,7062.24,6362.79,9978.19,11111.81,26777.11,39516.6,43812.76,90310.3
d_0,9.07,13.96,17.2,34.71,30.94,103.78,2687.51,5329.8,4678.1,4400.21,8125.12,11898.24,25593.3,36964.72,40258.65,75502.89
g_1,9.71,12.88,24.29,18.83,24.69,92.12,2128.4,3834.83,6657.24,5684.25,8524.23,13753.99,24004.85,36810.95,41380.68,65355.12
c_0,11.06,14.36,17.79,18.88,22.46,84.25,2796.69,4396.98,4632.35,6543.23,12657.59,10514.01,24626.64,37524.11,52485.04,60243.82
b_0,10.05,11.85,16.39,19.88,16.94,65.24,2323.49,3952.47,4192.52,4290.45,9289.68,9095.47,22484.84,32243.39,62348.29,54738.89
f_0,7.45,11.15,15.99,16.51,21.47,80.18,2363.01,3377.02,3717.35,4515.53,7156.36,10694.83,20626.65,45172.9,28039.52,53080.43
h_0,6.56,10.44,12.63,13.02,15.78,56.03,1428.51,2590.76,3439.17,3356.09,5357.69,6968.17,13833.11,22362.59,27637.27,53536.5
e_0,5.34,9.07,9.64,12.04,14.4,46.66,1543.41,2226.79,2465.14,2951.96,4517.78,5371.06,13931.96,27414.25,22255.78,36231.5
a_0,5.48,7.43,9.95,10.81,13.16,31.02,1466.26,2290.99,2713.41,2751.12,3782.59,6109.86,12907.43,19958.88,30358.46,34065.0
g_0,4.67,5.65,11.3,9.89,13.2,40.95,1154.17,1551.61,1887.76,2660.33,3809.78,6414.73,9953.27,16407.23,17491.55,27452.94
