,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.3,0.93,0.88,0.96,0.95,0.84,0.91,1.06,1.02,0.96,0.83,0.85,0.96,1.03,1.12
e_1,0.77,1.0,0.97,0.98,0.94,1.07,1.11,1.56,1.16,1.2,0.93,1.08,0.95,0.99,1.91,1.1
c_1,1.08,1.03,1.0,1.07,1.39,0.98,0.93,0.69,0.85,0.67,0.96,1.01,1.02,0.89,0.85,0.94
d_1,1.14,1.02,0.94,1.0,0.94,0.97,0.96,1.02,0.87,1.18,1.07,0.91,1.1,1.06,0.71,0.93
b_1,1.05,1.06,0.72,1.07,1.0,1.32,1.21,0.95,0.95,0.87,0.74,0.99,1.09,0.85,0.81,1.18
a_1,1.05,0.93,1.02,1.03,0.76,1.0,1.19,1.07,1.23,1.11,1.05,1.27,0.95,1.35,1.1,0.79
h_1,1.21,0.87,1.1,1.01,0.82,0.84,1.0,0.98,1.23,0.94,1.03,0.9,0.95,0.99,1.04,0.98
d_0,1.06,0.59,1.56,0.93,1.09,0.93,1.06,1.0,1.17,0.98,1.06,0.99,1.22,0.93,1.08,0.96
g_1,0.96,0.87,1.19,1.14,1.1,0.88,0.83,0.88,1.0,0.86,1.2,1.28,0.88,1.15,1.0,0.92
c_0,1.0,0.85,1.45,0.84,1.12,0.9,0.99,1.06,1.19,1.0,1.55,0.99,1.21,0.99,1.01,1.05
b_0,1.01,0.99,1.14,0.88,1.34,0.92,1.02,0.98,0.82,0.64,1.0,0.94,1.01,1.56,1.19,1.08
f_0,1.16,0.91,1.09,1.13,0.93,0.71,1.11,1.01,0.75,1.04,1.04,1.0,1.1,1.2,1.68,0.73
h_0,1.19,1.02,0.99,0.9,0.91,1.06,1.02,0.86,1.13,0.81,1.02,0.92,1.0,0.9,0.97,1.16
a_0,1.04,1.02,1.17,1.02,1.03,,1.06,1.04,0.85,1.01,0.6,0.88,1.11,1.0,1.0,1.16
e_0,1.03,,1.2,1.37,1.22,0.82,0.97,0.89,1.09,1.01,0.86,0.63,1.09,0.97,1.01,0.66
g_0,0.89,0.94,1.11,1.12,0.84,1.2,1.01,1.0,1.09,0.97,0.94,1.29,0.84,0.88,1.39,1.0
