,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.35,0.58,0.47,0.55,1.05,0.33,1.06,0.89,1.13,0.39,1.18,0.76,1.46,0.93,0.81,1.21
f_1,0.6,2.35,0.64,0.98,0.44,0.31,1.03,0.9,1.06,1.09,0.45,1.15,1.24,0.48,0.99,1.03
d_1,0.45,0.66,2.39,0.47,0.51,0.39,1.19,1.0,0.63,2.32,1.28,1.55,1.41,1.09,1.05,1.4
e_1,0.69,0.59,0.47,2.42,0.57,0.41,0.89,0.94,2.31,1.05,1.14,1.12,1.48,0.48,0.94,1.48
b_1,0.55,0.59,0.53,0.56,2.5,0.96,1.12,0.78,1.13,0.97,1.08,0.44,1.35,0.86,0.78,1.14
a_1,0.73,0.64,0.51,0.47,0.49,3.09,1.01,1.09,1.23,1.16,1.19,1.03,1.41,1.24,0.52,1.41
h_1,0.71,0.99,0.75,0.61,0.53,0.58,3.02,1.59,1.26,1.48,1.15,1.38,1.08,1.03,1.18,1.94
g_1,0.64,0.61,1.15,0.59,0.6,0.41,1.32,3.3,1.3,1.4,2.16,1.31,1.56,1.4,1.08,1.16
d_0,1.39,0.69,0.38,0.7,0.64,0.49,1.08,1.09,2.66,0.9,1.44,1.24,1.6,1.11,1.13,1.56
c_0,0.55,0.77,0.83,0.64,0.45,0.5,1.4,1.29,1.43,2.79,1.51,3.07,1.94,1.34,1.28,1.96
f_0,0.82,0.42,0.88,0.57,0.69,0.61,1.34,1.08,1.24,1.48,2.89,1.61,1.7,2.39,1.32,1.7
b_0,0.71,0.94,0.8,0.67,0.39,0.37,1.34,1.24,1.6,1.44,1.13,2.85,2.12,1.31,2.57,1.89
h_0,0.68,0.97,0.75,0.69,0.59,0.47,0.92,1.72,1.52,1.34,1.35,1.28,1.1,1.18,1.3,2.27
e_0,0.76,0.91,0.85,0.31,0.7,0.49,1.6,1.39,1.16,1.08,1.27,1.43,2.03,3.27,1.2,1.69
a_0,0.76,0.78,0.88,0.6,0.6,0.36,1.43,1.27,1.34,1.28,1.11,1.18,1.81,1.19,3.09,1.76
g_0,0.82,0.58,1.07,0.58,0.67,0.43,1.07,0.78,1.3,1.57,1.98,1.44,1.8,1.17,1.23,1.17
