,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.96,0.59,0.53,0.76,0.6,0.41,0.41,0.38,0.58,0.37,0.4,0.36,0.35,0.26,0.32,0.29
f_1,0.94,0.96,0.57,0.6,0.58,0.34,0.37,0.35,0.4,0.37,0.31,0.35,0.33,0.2,0.28,0.26
d_1,0.68,0.7,0.96,0.52,0.53,0.41,0.45,0.35,0.36,0.55,0.37,0.42,0.36,0.3,0.33,0.29
c_1,0.53,0.64,0.67,0.96,0.81,0.49,0.39,0.37,0.32,0.29,0.34,0.27,0.36,0.26,0.29,0.25
b_1,0.63,0.67,0.65,0.6,0.95,0.71,0.44,0.39,0.39,0.38,0.34,0.29,0.39,0.29,0.34,0.23
a_1,0.78,0.81,0.74,0.66,0.59,0.94,0.54,0.44,0.45,0.46,0.44,0.44,0.43,0.34,0.38,0.25
h_1,0.89,1.15,0.95,0.93,0.75,0.56,0.81,0.64,0.52,0.56,0.53,0.54,0.48,0.36,0.54,0.37
g_1,0.83,0.91,1.21,1.01,0.81,0.61,0.58,0.79,0.48,0.57,0.76,0.58,0.54,0.45,0.48,0.4
d_0,0.83,0.93,0.8,1.5,0.98,0.65,0.65,0.62,0.74,0.46,0.61,0.48,0.53,0.41,0.49,0.39
c_0,1.07,1.04,0.99,0.98,0.75,0.65,0.7,0.66,0.71,0.74,0.68,0.87,0.64,0.44,0.5,0.54
f_0,0.77,0.94,1.15,1.07,0.93,0.77,0.7,0.55,0.58,0.6,0.74,0.57,0.53,0.77,0.49,0.48
b_0,1.02,1.1,1.02,1.13,0.82,0.61,0.7,0.69,0.66,0.53,0.68,0.73,0.65,0.46,0.52,0.72
h_0,1.09,1.35,1.15,1.08,0.92,0.68,0.68,0.8,0.65,0.56,0.65,0.58,0.55,0.45,0.65,0.47
e_0,0.91,1.2,1.13,1.24,0.99,0.84,0.86,0.74,0.7,0.66,0.53,0.65,0.71,0.72,0.57,0.45
g_0,1.05,1.12,1.43,1.16,0.98,0.73,0.74,0.66,0.64,0.76,0.88,0.66,0.59,0.58,0.57,0.45
a_0,1.14,1.21,1.22,1.13,1.07,0.71,0.81,0.81,0.63,0.61,0.62,0.58,0.7,0.56,0.59,0.69
