,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.84,0.76,0.97,0.72,0.7,0.34,0.46,0.37,0.32,0.38,0.5,0.28,0.34,0.29,0.35
e_1,0.54,0.41,0.86,0.91,0.95,0.81,0.4,0.49,0.41,0.37,0.41,0.47,0.34,0.46,0.61,0.29
d_1,0.89,0.92,0.39,0.87,0.72,0.72,0.45,0.31,0.63,0.38,0.37,0.33,0.27,0.3,0.34,0.21
c_1,0.76,0.65,0.99,0.39,1.05,0.74,0.46,0.41,0.24,0.47,0.31,0.38,0.29,0.33,0.31,0.32
b_1,0.98,0.84,0.86,0.46,0.36,1.08,0.45,0.5,0.37,0.51,0.5,0.36,0.34,0.39,0.36,0.39
a_1,0.99,0.86,0.79,0.86,0.47,0.3,0.57,0.5,0.41,0.43,0.54,0.33,0.33,0.63,0.38,0.36
h_1,0.76,0.74,0.71,0.7,0.7,0.67,0.25,0.42,0.35,0.31,0.31,0.31,0.34,0.3,0.29,0.31
g_1,0.76,0.76,0.8,0.79,0.68,0.67,0.32,0.23,0.31,0.29,0.31,0.41,0.23,0.28,0.37,0.24
d_0,0.73,0.48,0.88,0.85,0.9,0.68,0.39,0.49,0.25,0.32,0.3,0.35,0.3,0.34,0.35,0.35
c_0,0.88,0.82,0.42,1.14,0.66,0.66,0.5,0.38,0.47,0.23,0.4,0.29,0.3,0.37,0.37,0.29
b_0,0.71,0.68,0.6,1.05,1.04,0.62,0.42,0.37,0.38,0.19,0.22,0.35,0.3,0.36,0.31,0.26
f_0,1.04,0.63,0.66,0.7,0.73,0.87,0.43,0.26,0.35,0.33,0.32,0.21,0.26,0.28,0.43,0.2
h_0,0.84,0.71,0.71,0.74,0.66,0.69,0.43,0.39,0.34,0.28,0.3,0.3,0.37,0.28,0.29,0.3
a_0,0.78,0.63,0.76,0.82,0.67,0.86,0.39,0.41,0.39,0.3,0.19,0.3,0.27,0.21,0.3,0.24
e_0,1.26,0.81,0.69,0.75,0.65,0.82,0.4,0.28,0.31,0.27,0.32,0.16,0.24,0.3,0.19,0.25
g_0,0.71,0.76,0.78,0.72,0.66,0.75,0.29,0.52,0.34,0.34,0.29,0.35,0.2,0.29,0.33,0.4
