,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.41,0.47,0.78,0.65,0.74,0.67,0.39,0.37,0.39,0.3,0.35,0.31,0.28,0.31,0.28,0.41
f_1,0.74,0.4,0.7,0.58,0.65,0.69,0.29,0.32,0.36,0.29,0.31,0.28,0.2,0.29,0.28,0.25
c_1,0.52,0.69,0.39,0.86,0.79,0.64,0.34,0.19,0.34,0.34,0.27,0.28,0.29,0.29,0.3,0.27
d_1,0.8,0.77,0.62,0.38,0.64,0.54,0.33,0.39,0.26,0.34,0.3,0.34,0.24,0.31,0.2,0.27
b_1,0.67,0.74,0.43,0.74,0.37,0.77,0.39,0.31,0.41,0.37,0.31,0.41,0.26,0.3,0.24,0.29
a_1,0.72,0.7,0.69,0.73,0.4,0.31,0.39,0.36,0.39,0.35,0.37,0.49,0.29,0.39,0.3,0.41
h_1,0.62,0.72,0.68,0.59,0.59,0.58,0.24,0.28,0.34,0.25,0.25,0.26,0.27,0.24,0.24,0.25
d_0,0.41,0.64,0.79,0.8,0.7,0.63,0.4,0.24,0.36,0.25,0.27,0.25,0.27,0.28,0.25,0.29
g_1,0.6,0.68,0.69,0.69,0.59,0.56,0.27,0.32,0.22,0.28,0.29,0.29,0.19,0.26,0.25,0.26
c_0,0.69,0.65,0.94,0.43,0.63,0.57,0.36,0.45,0.35,0.23,0.29,0.34,0.23,0.32,0.22,0.29
f_0,0.59,0.83,0.72,0.62,0.59,0.53,0.36,0.3,0.24,0.27,0.22,0.29,0.26,0.26,0.16,0.36
b_0,0.6,0.66,0.82,0.53,0.74,0.54,0.38,0.34,0.35,0.18,0.28,0.21,0.23,0.33,0.21,0.29
h_0,0.6,0.72,0.55,0.61,0.6,0.57,0.38,0.3,0.39,0.29,0.25,0.3,0.28,0.28,0.25,0.26
a_0,0.58,0.63,0.65,0.59,0.69,0.81,0.37,0.28,0.35,0.24,0.27,0.17,0.24,0.19,0.24,0.24
g_0,0.62,0.62,0.58,0.6,0.69,0.58,0.3,0.3,0.4,0.29,0.29,0.29,0.19,0.28,0.25,0.27
e_0,0.67,0.73,0.74,0.62,0.62,0.52,0.34,0.29,0.32,0.3,0.17,0.29,0.23,0.27,0.2,0.18
