,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.79,1.22,0.93,0.77,0.57,0.46,0.42,0.59,0.48,0.43,0.37,0.33,0.35,0.33
d_1,1.14,1.0,0.95,0.88,0.95,0.73,0.51,0.35,0.56,0.43,0.41,0.36,0.35,0.34,0.33,0.27
f_1,1.28,1.04,1.0,0.86,0.88,0.66,0.45,0.51,0.39,0.42,0.32,0.36,0.27,0.33,0.25,0.36
c_1,0.82,1.16,1.14,1.0,1.36,0.71,0.5,0.56,0.43,0.32,0.43,0.32,0.37,0.32,0.36,0.34
b_1,1.09,1.06,1.13,0.74,1.0,1.22,0.57,0.52,0.45,0.43,0.42,0.37,0.43,0.34,0.42,0.36
a_1,1.32,1.35,1.52,1.42,0.81,1.0,0.67,0.64,0.55,0.66,0.52,0.76,0.43,0.51,0.46,0.41
h_1,1.71,1.95,2.19,1.98,1.76,1.56,1.0,0.98,0.78,0.78,0.77,0.78,0.8,0.6,0.6,0.75
g_1,2.22,2.81,1.97,1.8,1.85,1.7,1.02,1.0,0.97,0.89,0.99,0.92,0.61,0.7,0.76,0.73
c_0,2.31,1.79,2.44,2.31,2.37,1.9,1.26,1.02,1.0,1.23,0.9,1.25,0.83,0.9,0.73,0.81
d_0,1.67,2.52,2.37,3.35,2.2,1.46,1.27,1.08,0.8,1.0,0.9,0.91,0.87,0.84,0.79,0.83
f_0,2.15,2.33,3.19,2.31,2.5,1.9,1.37,0.99,1.08,1.12,1.0,0.98,0.96,0.81,1.33,0.71
b_0,2.32,2.79,2.82,3.17,2.43,1.42,1.3,1.1,0.79,1.08,0.93,1.0,1.01,1.31,0.86,0.74
h_0,2.55,2.85,3.72,2.89,2.28,2.3,1.31,1.68,1.21,1.21,1.03,1.03,1.0,1.01,0.85,1.12
a_0,3.16,2.82,3.09,3.12,2.97,1.88,1.61,1.45,1.17,1.16,1.24,0.79,1.08,1.0,1.05,1.1
e_0,2.89,2.91,3.82,2.67,2.55,2.08,1.62,1.32,1.34,1.16,0.75,1.19,1.2,1.0,1.0,0.99
g_0,2.84,3.74,2.9,3.02,2.75,2.55,1.3,1.32,1.28,1.26,1.35,1.31,0.9,0.92,1.07,1.0
