,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,34.45,0.13,0.06,0.06,0.06,0.05,0.3,0.33,0.4,0.33,0.4,,0.65,0.46,0.42,0.29
e_1,0.06,36.21,0.05,0.08,0.1,0.08,0.19,0.26,0.71,0.42,0.31,0.41,0.47,0.35,0.48,
d_1,0.07,0.04,40.57,0.05,0.06,0.08,0.3,0.32,,0.74,0.39,0.48,0.74,0.27,0.49,0.38
c_1,0.06,0.08,0.06,43.62,0.12,0.08,0.33,0.29,0.37,,0.27,0.44,0.55,0.46,0.54,
b_1,0.07,0.07,0.06,0.08,50.96,0.1,0.37,0.24,0.28,0.4,,0.26,0.75,0.27,0.62,0.46
a_1,0.08,0.06,0.08,0.05,0.1,71.39,0.27,0.26,0.25,0.35,0.44,0.38,0.86,,0.42,
h_1,0.33,0.26,0.26,0.27,0.16,0.22,27.78,1.5,1.57,1.68,1.41,0.91,,1.54,3.6,1.8
g_1,0.23,0.3,0.38,0.3,0.22,0.28,1.19,34.19,1.38,0.86,1.18,2.29,2.1,1.62,,
d_0,0.39,0.34,,0.76,0.44,0.32,1.44,1.16,17.49,2.05,2.36,2.25,2.57,,2.14,2.36
c_0,0.32,0.26,0.39,,0.29,0.33,1.95,1.34,1.74,17.94,3.8,2.06,3.61,1.92,2.97,2.86
b_0,0.34,0.25,0.35,0.29,,0.36,1.84,2.26,1.84,2.03,19.75,1.94,2.6,2.94,3.3,2.27
f_0,,0.3,0.42,0.33,0.32,0.29,1.75,1.48,2.43,2.41,1.53,23.49,2.64,2.08,3.31,3.64
h_0,0.67,0.49,0.53,0.54,0.63,0.49,,2.38,3.16,3.37,3.14,3.12,,3.56,5.94,2.73
a_0,0.33,0.33,0.28,0.32,0.42,,1.56,,2.15,1.51,1.98,2.22,2.97,29.65,4.1,2.88
g_0,0.5,0.48,1.1,0.46,0.39,0.51,1.74,,3.74,2.65,3.25,3.84,4.57,2.57,,2.67
e_0,0.48,,0.34,0.39,0.28,0.54,1.44,,1.57,2.25,2.04,,4.04,2.5,3.61,33.57
