,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.15,51.47,76.67,77.07,86.89,91.0,18.21,33.81,14.89,16.88,14.47,17.07,19.76,11.56,,13.74
f_1,129.21,1.15,94.2,98.75,89.44,72.8,16.81,23.67,15.22,16.88,,19.69,15.37,7.02,14.04,10.53
c_1,124.9,83.79,1.15,121.54,86.89,75.83,30.14,26.3,10.29,,20.84,16.0,23.06,11.56,18.47,10.53
d_1,110.21,92.38,106.35,1.15,98.1,130.0,30.14,14.49,,16.36,26.05,15.52,18.86,11.56,20.65,8.54
b_1,85.16,85.79,73.27,108.97,1.15,95.79,29.13,33.81,16.67,22.5,23.68,,,17.09,14.63,17.56
a_1,220.41,144.12,157.0,197.5,101.37,1.15,46.0,,38.89,45.0,27.42,36.57,,24.56,,
h_1,89.21,102.94,91.58,90.29,77.97,72.8,2.0,27.31,21.21,21.6,13.71,15.06,21.84,,17.55,10.53
g_1,110.21,124.24,113.69,85.41,138.23,,21.85,2.0,35.0,22.5,23.68,17.07,31.92,13.1,20.65,
d_0,39.44,102.94,91.58,,80.03,95.79,20.81,32.27,2.88,20.0,15.32,32.0,25.94,10.92,20.65,13.17
c_0,129.21,138.58,,83.16,101.37,95.79,24.97,23.67,21.88,3.12,22.65,25.6,15.37,14.04,19.5,26.33
f_0,110.21,,99.91,83.16,104.86,165.45,41.62,21.52,30.43,20.0,3.06,23.27,20.75,26.2,25.07,10.19
b_0,144.12,100.08,117.75,98.75,,140.0,34.96,30.87,35.0,11.49,24.81,2.96,37.73,18.71,29.25,13.17
a_0,170.32,211.94,126.81,117.04,,,51.41,44.38,41.18,30.0,22.65,21.33,2.88,13.55,,22.57
h_0,91.39,85.79,86.76,112.86,116.96,101.11,,28.4,18.42,18.0,20.04,28.44,15.37,,21.94,15.8
e_0,,240.2,235.5,150.48,190.06,,41.62,37.37,36.84,36.0,22.65,30.12,,35.73,2.92,28.73
g_0,156.12,144.12,131.88,143.64,104.86,,30.14,,20.59,25.71,27.42,22.26,21.84,15.12,31.91,
