,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,13532.52,6939.22,7188.26,6803.07,14854.37,52968.15,7161636.63,12532316.3,34600931.24,17729878.21,44658288.03,58128212.71,169817297.77,230286797.88,278325960.89,560880661.27
f_1,5252.73,13449.78,11914.16,8854.39,13416.69,48147.53,7115900.88,20993294.07,19161269.24,16250454.99,33882409.68,41075418.07,162629768.77,179561750.13,164616349.74,562353712.15
e_1,4734.78,6186.7,17258.64,11111.68,16390.5,49877.49,7291241.19,33033885.74,19632531.54,16931008.95,34008942.75,48837066.1,181749682.68,207841793.45,198465054.17,574992341.65
c_1,6228.11,5618.93,6267.76,21669.07,27409.76,50287.15,6710966.77,17363325.33,14408499.28,15821732.27,25296142.11,51054958.94,168489982.02,182499032.88,259712658.07,519778707.98
b_1,5982.22,6162.06,6263.47,9330.26,42584.18,100031.5,7236301.56,19416505.28,17204623.49,16113454.32,28067201.42,52527813.85,170180586.52,151965669.6,268915301.76,579239936.6
a_1,6516.81,6783.41,7612.55,9602.21,13149.09,188164.93,7396059.69,16268718.02,18527997.79,17576096.59,38090257.28,49113388.61,192369712.35,136835005.37,235228689.73,570918381.72
h_1,6518.49,8534.92,7889.43,9196.59,15973.27,56292.74,12665384.35,16387641.4,20828930.78,21587251.14,37535574.71,59459937.07,143471098.43,175765357.72,260717295.9,720397078.29
d_0,4743.45,5919.72,6988.5,16283.01,20835.4,61209.19,7653507.12,27533129.34,15674054.79,17786694.53,36617135.06,52534243.53,181831075.28,210808767.42,256451591.67,625364001.69
c_0,6991.99,7011.86,7710.37,8386.33,12685.17,47381.49,8180022.4,19942089.35,32337091.38,20646282.83,68271755.88,63341712.15,195090150.73,311140445.22,280673727.17,646154391.66
g_1,9398.25,5838.66,6412.75,9180.11,17184.17,48506.48,6955813.35,15391664.15,22312556.02,37762843.13,41932084.89,86470022.84,187376470.76,176211177.88,310298481.77,494993288.95
b_0,7578.22,7201.07,7178.85,9776.39,13963.22,41632.69,8522767.06,18978449.46,23900625.15,21263792.71,65311844.69,59236328.51,223825395.05,410236662.84,304147440.25,643609027.89
f_0,7941.88,5735.49,6607.8,10226.26,19434.7,52073.49,7416344.88,16359669.91,25865653.0,20789642.96,42245151.35,97419270.28,202611769.6,217462200.28,613824833.96,660595776.43
h_0,7156.5,7970.58,7061.36,9398.5,16616.31,52877.76,6030338.1,18780311.02,21738901.05,26226763.2,40148146.88,58870120.51,167506234.36,228158520.43,285112479.12,803749714.44
a_0,6691.52,7120.62,8391.31,10955.4,17889.88,31682.05,8782244.77,19268196.78,23222443.73,22810417.41,46120818.97,57897949.69,211380552.82,427923460.15,275880302.2,673034475.53
e_0,6833.62,6971.19,6940.04,9793.26,19787.7,55027.86,7076453.38,19016712.47,23329295.46,19817518.31,39284058.45,65400978.03,213276771.99,232889918.32,537838144.85,809478437.44
g_0,9607.06,5638.54,6395.7,8745.72,18159.48,56915.41,7031659.67,14341669.2,24601802.49,16084618.5,38104706.17,79028676.92,173951728.68,216201549.84,321774166.9,511741528.14
