,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,5.95,0.55,1.21,0.62,0.46,0.61,2.14,1.74,2.8,2.28,0.51,2.84,3.94,3.91,3.07,1.61
d_1,0.75,6.05,0.56,0.47,0.57,0.39,2.07,2.48,0.94,5.4,3.36,3.75,5.33,4.42,3.15,2.88
e_1,0.61,0.47,6.08,0.59,0.64,0.67,2.37,1.96,4.95,3.17,3.06,3.18,5.15,4.7,2.32,0.74
c_1,0.63,0.63,0.52,6.45,1.22,0.36,2.18,1.83,2.9,0.49,2.63,2.46,4.28,4.19,3.09,3.6
b_1,0.65,0.59,0.52,0.66,7.13,1.06,2.3,1.88,2.61,3.0,2.9,0.69,4.01,4.38,2.09,3.43
a_1,0.59,0.69,0.52,0.62,0.53,10.91,2.23,2.31,2.98,3.2,3.65,2.97,4.01,3.69,,2.64
h_1,1.34,0.9,0.83,1.33,0.85,0.82,14.83,4.93,4.8,4.86,4.88,6.01,2.7,10.87,5.42,7.03
g_1,0.85,1.54,0.99,1.31,0.77,1.16,2.83,18.29,4.26,5.91,7.44,5.03,6.87,1.95,4.38,6.11
d_0,1.06,0.48,1.03,1.94,1.05,1.14,4.2,4.26,13.76,4.44,3.5,5.14,5.67,6.54,5.93,4.95
c_0,1.08,1.12,1.11,0.46,0.89,1.34,4.53,5.04,5.23,14.92,7.34,10.26,8.79,7.84,6.53,6.6
f_0,0.33,1.31,0.96,1.13,1.2,1.16,4.44,5.02,4.64,5.8,16.23,6.15,7.61,7.75,6.24,12.83
b_0,1.12,1.37,0.84,1.49,0.35,1.01,3.58,3.07,5.83,4.45,5.92,15.83,7.99,7.27,11.3,6.66
h_0,1.58,1.15,0.9,0.89,1.12,0.97,1.32,5.4,3.87,4.91,6.22,4.58,2.54,8.95,5.41,4.74
g_0,0.86,1.73,0.95,1.09,0.83,1.01,3.75,1.86,4.78,5.69,7.75,6.42,5.92,2.59,5.06,6.32
a_0,0.99,1.35,1.13,1.22,0.96,,4.79,3.31,5.01,3.04,6.0,4.7,8.74,9.4,23.29,4.29
e_0,0.98,1.45,0.38,1.07,1.02,1.19,4.37,5.51,4.95,5.56,5.33,6.92,9.32,8.93,7.6,24.66
