,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.53,1.08,1.59,1.52,1.42,0.61,0.61,0.59,0.47,0.52,0.53,0.37,0.39,0.46,0.36
d_1,1.84,1.04,1.76,1.4,1.4,1.26,0.58,0.43,0.54,0.52,0.48,0.42,0.32,0.42,0.35,0.27
f_1,1.83,1.43,1.05,1.5,1.45,1.27,0.45,0.59,0.47,0.46,0.44,0.48,0.28,0.41,0.35,0.33
c_1,1.39,1.98,1.71,1.05,1.9,1.27,0.62,0.61,0.33,0.53,0.45,0.42,0.36,0.4,0.39,0.34
b_1,1.74,1.81,1.92,1.17,1.06,1.79,0.77,0.7,0.54,0.63,0.6,0.54,0.41,0.41,0.47,0.38
a_1,2.2,2.42,2.42,2.68,1.49,1.06,0.87,0.99,0.83,0.7,0.82,0.75,0.64,0.75,0.69,0.5
h_1,4.24,4.38,5.02,4.35,3.8,3.75,1.24,1.86,1.45,1.32,1.36,1.21,1.18,1.03,1.08,0.92
g_1,4.85,5.04,4.61,4.71,4.15,3.4,1.37,1.24,1.28,1.34,1.29,1.34,0.91,1.04,1.18,1.02
d_0,3.6,6.16,5.08,6.41,5.07,4.19,1.99,2.32,1.35,1.48,1.66,1.36,1.21,1.33,1.23,1.09
c_0,5.61,3.82,5.35,6.04,4.62,4.03,1.97,1.83,2.22,1.33,1.82,1.65,1.24,1.43,1.39,1.06
b_0,5.06,4.82,5.38,7.27,6.89,4.03,1.98,2.03,1.77,1.05,1.32,1.63,1.22,1.39,1.35,1.19
f_0,5.87,5.73,6.39,7.18,5.51,4.22,2.35,1.71,1.95,1.6,1.66,1.35,1.37,1.39,1.74,0.88
h_0,7.63,7.96,7.61,7.21,7.06,5.71,2.85,2.8,2.07,2.11,2.15,1.93,1.83,1.73,1.61,1.48
a_0,7.7,7.11,7.76,8.17,9.23,6.05,3.16,2.96,2.41,1.93,1.59,2.13,1.71,1.46,1.89,1.49
e_0,8.85,8.33,9.56,8.92,8.38,5.96,3.12,2.67,2.57,2.3,2.34,1.42,1.81,2.03,1.46,1.37
g_0,9.31,9.62,8.07,8.98,8.67,7.35,2.84,3.7,2.94,2.69,2.58,2.76,1.64,2.14,2.12,1.89
