,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.3,0.99,0.88,0.76,0.73,0.57,0.69,0.62,0.56,0.6,0.5,0.5,0.56,0.56,0.44
e_1,0.77,1.0,1.16,0.94,1.09,0.82,0.74,0.68,0.98,0.68,0.64,0.74,0.67,0.61,0.61,0.74
c_1,1.01,0.87,1.0,1.08,1.26,0.79,0.79,0.69,0.48,0.53,0.54,0.61,0.59,0.49,0.57,0.56
d_1,1.15,1.05,0.94,1.0,0.9,0.92,0.68,0.54,0.61,0.83,0.61,0.64,0.56,0.62,0.49,0.55
b_1,1.32,0.93,0.79,1.11,1.0,1.26,0.84,0.79,0.75,0.81,0.72,0.66,0.74,0.54,0.68,0.51
a_1,1.36,1.21,1.28,1.07,0.8,1.0,0.86,0.88,0.91,0.75,0.72,0.8,0.89,0.7,0.7,0.57
h_1,1.73,1.4,1.3,1.43,1.16,1.14,1.0,1.08,0.87,0.95,0.96,0.75,0.9,0.78,0.95,0.74
g_1,1.47,1.45,1.43,1.83,1.31,1.2,0.92,1.0,0.93,0.92,0.92,1.07,0.78,0.9,0.78,0.96
d_0,1.53,1.03,2.09,1.62,1.45,1.02,1.18,1.08,1.0,0.75,0.97,0.99,1.02,1.03,0.91,0.91
c_0,1.72,1.53,1.95,1.2,1.16,1.28,1.03,1.15,1.3,1.0,1.4,0.95,1.12,1.25,0.96,0.98
b_0,1.64,1.57,1.94,1.6,1.47,1.32,1.1,1.1,0.97,0.68,1.0,0.89,0.98,1.21,0.79,0.83
f_0,1.91,1.41,1.65,1.56,1.47,1.23,1.21,0.93,1.1,1.06,1.09,1.0,1.14,0.95,0.77,1.33
h_0,2.06,1.5,1.65,1.75,1.39,1.18,1.12,1.27,0.97,0.9,0.99,0.84,1.0,0.96,1.01,0.84
a_0,1.72,1.63,1.94,1.73,1.99,1.65,1.2,1.14,0.96,0.8,0.82,1.08,0.97,1.0,0.93,1.05
g_0,1.8,1.74,1.66,2.05,1.45,1.35,1.06,1.26,1.04,0.97,1.16,1.34,0.96,1.04,1.0,1.03
e_0,2.42,1.27,1.88,1.68,1.96,1.76,1.35,1.01,1.16,1.02,1.22,0.78,1.13,0.85,0.95,1.0
