,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.04,1.11,1.41,1.54,1.43,1.22,0.52,0.53,0.58,0.42,0.43,0.53,0.35,0.33,0.41,0.34
f_1,1.68,1.04,1.42,1.53,1.34,1.03,0.46,0.5,0.58,0.42,0.4,0.47,0.41,0.29,0.34,0.33
d_1,1.79,1.72,1.04,1.56,1.4,1.32,0.64,0.57,0.41,0.51,0.5,0.4,0.44,0.31,0.36,0.25
c_1,1.44,1.69,1.96,1.05,1.74,1.37,0.65,0.33,0.57,0.51,0.41,0.43,0.43,0.37,0.41,0.34
b_1,1.8,2.21,2.13,1.25,1.05,1.72,0.73,0.53,0.65,0.7,0.57,0.47,0.49,0.45,0.49,0.36
a_1,2.55,2.85,2.78,2.32,1.5,1.06,1.13,0.76,1.04,0.81,0.88,0.68,0.73,0.65,0.57,0.59
h_1,4.4,4.58,3.98,4.23,3.92,3.05,1.23,1.32,1.47,1.2,1.07,1.11,1.05,1.06,1.01,0.94
d_0,3.86,4.97,6.17,6.36,5.33,4.66,2.13,1.36,2.14,1.37,1.54,1.42,1.46,1.26,1.5,1.25
g_1,4.87,5.39,5.35,5.49,4.97,4.27,1.77,1.55,1.24,1.53,1.41,1.51,1.5,0.93,1.42,1.31
c_0,5.99,6.15,3.88,7.15,5.15,4.64,2.32,2.18,1.8,1.32,1.85,1.49,1.58,1.24,1.42,1.19
b_0,5.62,6.32,5.14,7.72,7.26,4.82,2.57,1.78,1.95,1.17,1.4,1.52,1.94,1.44,1.35,1.35
f_0,5.62,8.37,6.36,6.52,6.23,5.07,2.6,2.04,1.67,1.84,1.92,1.41,1.66,1.42,1.97,1.06
a_0,7.73,7.13,6.63,7.21,8.04,7.0,2.78,2.24,2.42,1.87,1.33,1.98,1.41,1.63,1.76,1.58
h_0,7.64,7.9,7.72,7.15,7.22,6.26,3.16,2.3,2.79,2.09,2.03,2.03,1.88,1.8,1.75,1.68
e_0,9.33,10.14,7.58,7.81,6.81,6.36,3.02,2.56,2.33,2.51,2.37,1.41,2.0,1.82,1.49,1.44
g_0,8.19,9.11,9.44,8.16,8.92,7.31,2.79,2.88,3.12,2.5,2.5,2.34,2.51,1.58,2.18,2.05
