,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.74,0.97,1.11,0.84,0.74,0.54,0.46,0.57,0.44,0.41,0.39,0.39,0.38,0.28,0.3
f_1,1.35,1.0,0.88,0.99,0.75,0.67,0.37,0.47,0.41,0.39,0.39,0.33,0.31,0.27,0.26,0.28
d_1,1.03,1.14,1.0,0.85,0.88,0.73,0.53,0.38,0.49,0.59,0.49,0.39,0.37,0.35,0.37,0.27
c_1,0.9,1.02,1.18,1.0,1.39,0.71,0.54,0.45,0.33,0.36,0.36,0.35,0.38,0.33,0.31,0.3
b_1,1.2,1.33,1.13,0.73,1.0,1.11,0.56,0.6,0.47,0.41,0.44,0.49,0.31,0.47,0.38,0.4
a_1,1.34,1.5,1.35,1.41,0.9,1.0,0.78,0.78,0.56,0.61,0.66,0.45,0.79,0.55,0.47,0.53
h_1,1.87,2.53,1.87,1.98,1.81,1.28,1.0,1.05,0.8,0.83,0.83,0.82,0.68,0.74,0.63,0.76
g_1,2.24,2.22,2.53,2.19,1.72,1.19,0.95,1.0,1.02,0.91,0.92,1.03,0.82,0.85,0.68,0.61
d_0,1.72,2.32,2.06,3.12,2.14,1.84,1.2,1.0,1.0,0.85,0.92,0.76,0.81,0.82,0.79,0.71
c_0,2.34,2.42,1.67,2.91,2.38,1.59,1.22,1.09,1.28,1.0,1.33,0.94,0.93,0.99,0.8,0.67
b_0,2.6,2.54,1.98,2.64,2.39,1.42,1.18,1.08,1.08,0.72,1.0,0.92,1.2,0.94,0.78,0.71
f_0,2.47,3.18,2.44,2.84,2.19,2.39,1.22,0.93,1.35,1.11,0.99,1.0,0.95,1.19,1.27,0.65
a_0,2.68,3.23,2.74,2.54,3.19,1.5,1.41,1.17,1.17,1.07,0.89,1.06,1.0,1.04,1.13,0.97
h_0,2.69,3.74,2.85,2.84,2.29,1.71,1.4,1.22,1.17,1.04,1.09,0.88,0.9,1.0,1.02,1.01
e_0,3.66,3.99,2.78,3.18,2.65,2.16,1.64,1.48,1.31,1.19,1.3,0.77,0.9,0.93,1.0,0.95
g_0,3.33,3.5,3.88,3.38,2.54,1.96,1.33,1.68,1.35,1.47,1.37,1.52,0.97,0.97,1.06,1.0
