,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.96,1.3,0.93,0.99,0.77,0.57,0.68,0.58,0.63,0.62,0.56,0.5,0.55,0.47,0.59
d_1,1.04,1.0,1.01,0.81,0.9,0.88,0.84,0.54,0.84,0.83,0.66,0.66,0.58,0.59,0.59,0.4
e_1,0.77,0.99,1.0,1.1,0.94,0.99,0.72,0.72,0.66,0.94,0.61,0.77,0.65,0.59,0.72,0.6
c_1,1.08,1.23,0.91,1.0,1.39,0.7,0.65,0.65,0.5,0.47,0.59,0.59,0.67,0.49,0.55,0.56
b_1,1.01,1.11,1.07,0.72,1.0,1.23,0.77,0.66,0.71,0.76,0.8,0.62,0.64,0.72,0.69,0.71
a_1,1.3,1.13,1.01,1.43,0.82,1.0,0.93,0.8,0.84,0.59,0.73,0.79,0.82,0.81,0.68,0.68
h_1,1.78,1.24,1.38,1.62,1.29,1.07,1.0,1.24,0.98,0.86,0.99,1.1,1.03,0.94,0.8,1.11
g_1,1.49,1.77,1.33,1.49,1.49,1.22,0.8,1.0,0.88,0.98,0.93,1.16,0.65,0.76,0.84,0.87
c_0,1.71,1.24,1.48,2.09,1.4,1.17,1.08,1.15,1.0,1.15,1.27,1.13,0.94,0.84,0.83,0.84
d_0,1.51,1.4,1.1,2.28,1.26,1.56,1.12,1.06,0.88,1.0,1.11,0.91,0.8,0.99,0.8,0.87
b_0,1.78,1.54,1.6,1.79,1.23,1.26,0.96,1.07,0.76,0.88,1.0,0.77,0.99,1.39,0.78,0.85
f_0,1.86,1.49,1.28,1.8,1.49,1.21,0.94,0.91,0.88,1.16,1.27,1.0,1.1,1.01,1.64,0.74
h_0,2.06,1.75,1.51,1.53,1.49,1.2,1.0,1.54,1.04,1.17,0.98,0.89,1.0,0.92,0.97,1.19
a_0,1.83,1.6,1.67,2.04,1.38,,1.07,1.26,1.22,1.1,0.71,0.96,1.15,1.0,0.88,1.0
e_0,2.22,1.65,1.47,1.67,1.38,1.46,1.29,1.22,1.22,1.26,1.18,0.59,1.11,1.2,1.0,0.85
g_0,1.71,2.35,1.57,1.91,1.39,1.39,0.93,1.19,1.08,1.13,1.05,1.35,0.86,1.02,1.21,
