,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.89,0.21,0.14,0.23,0.15,0.09,0.16,0.35,0.13,0.13,0.15,0.13,0.16,0.06,0.1,0.12
f_1,0.35,0.89,0.16,0.16,0.15,0.09,0.14,0.14,0.1,0.14,0.16,0.05,0.15,0.07,0.1,0.09
d_1,0.2,0.2,0.89,0.14,0.14,0.08,0.16,0.08,0.14,0.33,0.18,0.16,0.17,0.11,0.09,0.11
c_1,0.17,0.21,0.17,0.89,0.28,0.1,0.16,0.13,0.13,0.05,0.12,0.13,0.15,0.07,0.08,0.13
b_1,0.21,0.18,0.17,0.15,0.88,0.21,0.16,0.17,0.13,0.12,0.05,0.15,0.18,0.08,0.06,0.13
a_1,0.18,0.25,0.19,0.17,0.13,0.88,0.17,0.18,0.12,0.21,0.15,0.14,0.15,0.1,0.03,0.13
h_1,0.24,0.33,0.22,0.21,0.19,0.11,0.55,0.19,0.2,0.18,0.16,0.14,0.11,0.11,0.1,0.16
d_0,0.25,0.23,0.1,0.42,0.19,0.12,0.18,0.44,0.14,0.16,0.16,0.2,0.19,0.11,0.11,0.15
g_1,0.23,0.18,0.37,0.16,0.17,0.13,0.16,0.18,0.54,0.19,0.16,0.29,0.19,0.13,0.14,0.08
c_0,0.28,0.28,0.29,0.11,0.17,0.1,0.21,0.16,0.16,0.44,0.35,0.17,0.2,0.14,0.13,0.14
b_0,0.34,0.26,0.27,0.19,0.06,0.1,0.18,0.23,0.16,0.21,0.42,0.18,0.21,0.14,0.27,0.13
f_0,0.27,0.17,0.26,0.19,0.17,0.12,0.25,0.23,0.2,0.23,0.19,0.41,0.22,0.27,0.08,0.17
h_0,0.27,0.33,0.26,0.21,0.14,0.11,0.1,0.21,0.22,0.21,0.2,0.17,0.11,0.13,0.1,0.21
e_0,0.14,0.33,0.22,0.23,0.15,0.11,0.23,0.23,0.15,0.24,0.18,0.23,0.19,0.39,0.11,0.17
a_0,0.27,0.28,0.28,0.23,0.13,0.05,0.2,0.2,0.21,0.2,0.2,0.16,0.23,0.15,0.37,0.15
g_0,0.22,0.21,0.35,0.27,0.2,0.1,0.2,0.16,0.11,0.2,0.15,0.27,0.17,0.13,0.11,0.1
