,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.27,0.8,0.94,0.87,0.69,0.44,0.43,0.48,0.5,0.45,0.35,0.32,0.29,0.25,0.3
e_1,0.78,1.0,0.96,1.1,0.95,0.79,0.51,0.44,0.61,0.5,0.44,0.47,0.35,0.35,0.36,0.33
d_1,1.24,1.05,1.0,0.89,0.9,0.7,0.55,0.57,0.42,0.37,0.46,0.43,0.38,0.36,0.39,0.28
c_1,1.08,0.89,1.09,1.0,1.32,0.75,0.5,0.44,0.34,0.44,0.36,0.43,0.36,0.35,0.34,0.28
b_1,1.12,1.06,1.11,0.77,1.0,1.28,0.56,0.53,0.44,0.53,0.52,0.41,0.37,0.44,0.36,0.41
a_1,1.47,1.28,1.38,1.34,0.81,1.0,0.76,0.58,0.62,0.61,0.62,0.52,0.5,0.46,0.48,0.42
h_1,2.32,2.0,1.84,1.91,1.78,1.4,1.0,0.9,0.92,0.95,0.9,0.77,0.71,0.76,0.63,0.7
c_0,2.32,2.34,1.72,2.17,1.86,1.72,1.13,1.0,1.14,1.05,1.29,0.87,0.94,0.79,0.72,0.72
d_0,2.09,1.66,2.28,2.98,2.39,1.61,1.08,0.87,1.0,1.12,0.9,0.91,0.8,0.74,0.72,0.76
g_1,2.12,2.01,2.7,2.27,1.97,1.61,1.03,0.98,0.93,1.0,0.89,1.1,0.75,0.67,0.73,0.75
b_0,2.19,2.34,2.1,2.75,1.98,1.6,1.1,0.8,1.17,1.11,1.0,0.98,1.06,0.81,0.7,0.75
f_0,2.86,2.1,2.32,2.47,2.34,1.9,1.28,1.11,1.11,0.88,0.96,1.0,0.89,0.85,1.23,0.68
a_0,3.15,2.82,2.71,2.59,2.61,2.1,1.39,1.12,1.32,1.26,0.98,1.15,1.0,1.1,0.98,0.97
h_0,3.46,2.78,2.83,2.84,2.41,2.27,1.3,1.26,1.37,1.52,1.26,1.08,0.92,1.0,0.91,1.03
e_0,4.08,2.78,2.48,2.91,2.61,2.3,1.57,1.36,1.44,1.35,1.45,0.82,1.1,1.07,1.0,0.91
g_0,3.33,2.98,3.55,3.46,2.53,2.34,1.45,1.38,1.35,1.38,1.28,1.37,1.05,0.94,1.08,1.0
