,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,10.01,2.03,0.62,0.76,0.5,0.64,0.82,0.89,0.79,1.01,0.65,0.95,0.99,0.6,0.84,0.83
e_1,0.73,10.24,0.59,1.06,0.65,0.56,0.98,0.99,0.75,2.55,1.07,1.01,1.03,0.78,0.97,0.97
d_1,0.73,0.58,13.31,0.5,0.71,0.74,0.98,0.87,2.83,0.52,1.01,1.27,0.95,1.2,0.96,0.88
c_1,0.68,0.56,0.6,12.08,1.86,0.78,0.87,0.95,0.43,0.87,0.97,0.62,0.9,0.81,0.84,0.97
b_1,0.81,0.54,0.7,0.63,12.65,1.62,0.95,0.89,0.91,0.83,1.01,0.64,0.95,0.96,0.83,0.9
a_1,0.88,0.6,0.81,0.71,0.74,19.9,1.16,0.74,1.04,0.71,0.74,1.04,0.96,1.17,0.76,0.97
h_1,1.12,0.75,0.88,0.75,0.72,0.7,3.06,1.25,0.79,0.86,1.11,0.87,0.78,0.98,1.25,1.79
g_1,0.59,0.53,1.54,0.74,0.73,0.7,1.04,3.64,1.04,0.7,2.04,1.04,0.94,1.16,1.17,0.97
c_0,0.79,0.92,0.94,0.62,0.53,0.71,1.15,1.19,2.11,1.12,1.27,3.73,1.32,1.28,1.55,1.38
d_0,0.76,0.74,0.59,2.54,0.88,0.64,1.04,0.9,0.54,1.97,1.0,0.94,1.04,1.09,0.95,1.23
f_0,0.44,0.49,1.23,0.94,0.94,0.82,1.12,1.34,1.25,1.01,2.53,1.23,1.45,3.35,1.31,1.36
b_0,0.77,0.79,0.96,0.87,0.54,0.67,1.05,1.15,1.02,1.12,1.19,2.22,1.39,1.42,3.36,1.28
h_0,1.08,0.86,1.0,0.96,0.63,0.64,0.75,1.68,1.06,0.93,0.95,1.1,0.75,0.89,0.99,1.51
e_0,0.98,0.58,1.04,0.79,0.77,0.87,1.15,1.23,1.15,0.85,0.85,1.21,1.56,3.22,1.34,1.47
a_0,0.8,0.76,1.09,0.74,0.63,0.55,1.09,1.19,1.31,0.87,1.44,1.23,1.43,1.23,2.92,1.41
g_0,0.56,0.66,1.85,0.88,0.74,0.75,0.85,1.08,1.07,0.72,2.06,1.3,1.17,1.51,1.25,0.79
