,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,9525.24,2768.23,3570.35,3195.85,7079.08,30444.23,3133879.1,6215619.51,17952392.74,5900784.86,21760931.2,34181224.25,69816839.39,126874952.1,105285279.39,259979760.43
f_1,2194.35,10750.42,6456.98,3746.06,8251.12,19981.68,2714700.5,5942120.94,9633569.08,14515122.01,17831494.84,12117046.26,67943779.33,100514272.96,75006527.05,176169367.08
e_1,1930.34,2356.22,18574.27,5744.93,7680.67,25702.15,2635754.26,6270517.19,10724014.59,28309218.47,20162205.44,30128823.31,64894053.97,108088725.55,59692390.7,192688041.8
c_1,2024.36,2412.15,3179.52,22565.34,14831.17,34465.83,2757300.62,7284367.54,3062547.43,12957846.12,10465601.2,30113973.04,52562574.1,102820464.15,116299578.47,164854386.16
b_1,2269.02,2441.54,3122.23,4462.07,50421.07,59656.42,2655170.58,6994821.98,9377017.6,14663628.32,4599056.93,24032208.33,42506226.07,86839227.31,105537714.32,165446049.99
a_1,1844.64,2159.75,3103.36,5505.65,10682.06,243236.38,3368912.05,6051275.33,8477286.95,13722811.81,17631197.88,32402090.71,11761929.65,112733017.47,170613237.88,240569383.01
h_1,3111.99,4126.16,3929.74,4571.86,7943.51,23601.39,9640057.23,10702606.01,12323867.58,14752944.64,24901185.35,33344554.57,62191296.51,81705220.97,159509963.84,315291246.32
g_1,3935.67,2436.17,3782.94,4748.35,7862.68,32870.77,3563495.11,27845233.64,9835512.42,14213336.27,25095924.31,55535900.79,75598056.79,154937102.13,190954124.54,153346151.3
c_0,3335.6,2983.29,5691.53,3556.87,7309.67,30405.4,3522622.52,8363238.57,26643647.85,15923984.31,43230674.73,36545847.02,91902718.77,124867111.68,159435634.87,280515207.2
d_0,1614.07,2903.94,4545.36,11261.64,10312.89,30772.36,3193650.4,8470804.34,7132101.88,32588340.58,18552254.42,29519940.4,74854230.25,135910074.87,127087118.6,192229585.08
b_0,3184.09,3323.25,3960.13,6942.91,4488.2,21265.54,3821668.07,9488785.16,12215998.44,17192862.55,47102392.5,35644734.5,134572268.32,127621933.99,154763926.32,249521860.9
f_0,3278.33,1325.05,4083.35,5605.76,10614.37,35344.05,4198495.87,10268377.86,15368327.21,16015712.33,22938725.37,90265494.34,76753918.97,134007325.29,403144391.02,311612321.6
a_0,2614.59,3003.46,4643.1,7117.98,9391.25,18578.57,3598928.89,9039250.93,12350366.3,16591882.93,24275357.44,33529604.15,205389270.23,163488140.15,147137366.5,231263733.5
h_0,2969.65,4229.27,4443.86,6026.25,8102.09,32475.77,1879526.38,11749330.29,12153883.2,16062426.51,21457176.36,35410533.16,80384704.49,80462645.16,117982369.8,287981016.81
e_0,2873.24,2650.47,2788.52,6506.38,13228.91,41458.82,3490062.58,8045071.89,12715339.76,16733583.8,21732812.03,33070019.18,66813891.28,168086028.43,458464100.05,227436851.47
g_0,4716.39,2778.84,4176.53,5079.84,8974.46,26870.38,3707884.91,5575492.38,13504314.67,14132700.72,22134386.98,53528240.18,71540314.94,144897712.13,188233980.31,174581156.65
