,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,1.2,0.9,1.04,0.87,0.68,0.9,0.66,0.71,0.66,0.68,0.69,0.52,0.55,0.6
f_1,1.34,1.0,0.94,0.94,0.78,0.76,0.6,0.66,0.6,0.64,0.61,0.59,0.47,0.58,0.54,0.55
c_1,0.83,1.06,1.0,1.18,1.32,0.74,0.73,0.45,0.48,0.66,0.51,0.56,0.61,0.58,0.58,0.57
d_1,1.12,1.07,0.86,1.0,0.96,0.77,0.73,0.78,0.81,0.58,0.75,0.72,0.59,0.65,0.57,0.46
b_1,0.97,1.29,0.76,1.03,1.0,1.53,0.77,0.71,0.78,0.71,0.52,0.57,0.59,0.57,0.63,0.64
a_1,1.15,1.32,1.34,1.28,0.65,1.0,0.82,0.84,0.77,0.83,0.89,0.7,0.81,0.6,0.6,0.72
h_1,1.42,1.68,1.38,1.39,1.29,1.18,1.0,0.9,0.94,1.05,0.81,0.83,0.78,0.76,0.83,0.91
d_0,1.1,1.5,2.22,1.35,1.42,1.29,1.11,1.0,0.78,0.94,0.99,0.95,0.88,0.84,0.84,0.93
c_0,1.59,1.64,1.77,1.25,1.21,1.3,1.03,1.21,1.0,1.07,1.44,0.93,0.9,0.87,0.86,0.92
g_1,1.4,1.47,1.5,1.72,1.46,1.24,0.93,1.01,0.95,1.0,1.0,1.23,0.72,0.88,0.9,0.88
b_0,1.55,1.64,1.89,1.35,1.83,1.15,1.18,1.06,0.69,1.05,1.0,0.95,0.94,1.13,0.79,0.98
f_0,1.38,1.73,1.86,1.41,1.69,1.52,1.18,1.03,1.05,0.83,1.04,1.0,0.98,0.85,1.14,0.77
h_0,1.47,2.14,1.6,1.65,1.63,1.28,1.3,1.15,1.12,1.34,1.03,1.01,1.0,0.91,0.95,1.05
a_0,1.9,1.73,1.69,1.56,1.65,1.84,1.32,1.22,1.18,1.09,0.85,1.21,1.1,1.0,0.85,1.04
e_0,1.7,2.06,1.71,1.89,1.54,1.63,1.26,1.18,1.15,1.18,1.23,0.84,1.05,1.29,1.0,0.85
g_0,1.72,1.84,1.74,2.19,1.58,1.37,1.09,1.07,1.1,1.12,1.0,1.28,0.94,1.03,1.13,1.0
