,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.77,1.13,1.19,1.06,0.94,0.5,0.52,0.45,0.38,0.4,0.46,0.4,0.34,0.41,0.37
f_1,1.17,0.65,1.0,1.05,0.97,0.92,0.38,0.55,0.42,0.42,0.4,0.44,0.34,0.24,0.32,0.29
d_1,1.16,1.17,0.64,1.08,1.03,1.01,0.47,0.35,0.5,0.46,0.45,0.38,0.38,0.31,0.36,0.22
c_1,0.93,1.17,1.33,0.63,1.32,1.03,0.5,0.47,0.28,0.43,0.36,0.39,0.39,0.31,0.36,0.31
b_1,1.2,1.32,1.21,0.75,0.62,1.32,0.58,0.55,0.44,0.5,0.57,0.5,0.35,0.39,0.4,0.4
a_1,1.45,1.55,1.39,1.41,0.81,0.56,0.8,0.71,0.54,0.56,0.61,0.43,0.63,0.45,0.52,0.45
h_1,1.77,1.98,1.73,1.65,1.59,1.31,0.55,0.85,0.64,0.63,0.65,0.64,0.56,0.59,0.54,0.55
g_1,1.83,2.01,1.93,1.83,1.69,1.44,0.65,0.53,0.71,0.7,0.69,0.69,0.64,0.53,0.59,0.51
d_0,1.27,1.96,2.22,2.31,2.08,1.85,0.87,0.88,0.59,0.65,0.68,0.63,0.64,0.58,0.7,0.62
c_0,2.13,2.0,1.23,2.95,2.23,1.68,0.88,0.89,0.94,0.56,0.84,0.65,0.73,0.62,0.65,0.47
b_0,1.94,1.95,1.57,2.5,2.52,1.59,0.95,0.86,0.82,0.45,0.55,0.68,0.77,0.61,0.68,0.57
f_0,2.1,2.81,1.96,2.17,1.88,2.01,0.93,0.71,0.92,0.77,0.73,0.53,0.71,0.73,0.8,0.45
a_0,1.98,2.53,2.12,2.18,2.64,2.12,0.93,0.94,0.81,0.66,0.53,0.66,0.56,0.7,0.78,0.67
h_0,2.12,2.6,2.17,2.34,1.94,1.75,1.21,0.9,0.78,0.74,0.81,0.67,0.68,0.76,0.72,0.67
e_0,3.05,3.04,2.11,2.38,2.24,1.93,1.04,0.98,0.89,0.79,0.83,0.46,0.69,0.6,0.54,0.61
g_0,2.7,2.75,2.51,2.8,2.23,1.9,0.87,1.27,0.96,0.89,0.96,0.85,0.73,0.58,0.79,0.75
