,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,10.64,0.7,1.07,0.53,0.66,0.69,0.85,2.5,0.97,0.92,1.03,0.94,1.05,1.02,0.96,0.82
f_1,1.97,11.42,0.67,0.6,0.55,0.6,0.88,0.94,0.77,0.88,0.63,0.97,0.83,0.88,0.87,0.72
c_1,0.54,0.65,12.11,0.65,1.94,0.71,0.84,0.79,0.79,0.44,0.92,0.62,0.97,0.92,0.98,0.86
d_1,0.59,0.9,0.48,15.1,0.59,0.63,1.01,0.55,0.97,2.56,0.99,1.31,1.12,1.0,1.33,1.01
b_1,0.56,0.66,0.65,0.71,12.0,2.1,0.97,0.78,0.97,0.81,0.97,0.71,0.94,0.88,0.74,0.95
a_1,0.68,0.58,0.72,1.0,0.72,17.36,0.98,0.84,1.11,0.91,1.12,0.97,1.05,0.57,0.89,1.17
h_1,0.68,1.21,0.7,1.09,0.73,0.63,3.17,0.8,1.58,0.98,1.04,0.91,0.81,1.0,1.34,1.0
d_0,0.66,0.7,2.89,0.53,0.86,0.63,1.04,1.84,0.93,0.55,0.97,0.85,1.09,1.14,1.01,1.13
g_1,0.59,0.67,0.82,1.63,0.74,0.61,1.07,0.87,3.71,1.13,1.95,1.05,0.97,0.93,0.9,1.13
c_0,0.86,1.01,0.57,1.02,0.5,0.63,1.25,1.27,1.06,2.34,1.27,3.09,1.15,1.58,1.2,1.16
f_0,0.62,0.66,0.98,0.99,0.84,0.54,1.19,0.96,1.16,1.1,2.32,1.29,1.44,1.26,1.33,2.69
b_0,0.75,1.08,0.87,0.78,0.51,0.53,1.2,1.35,1.06,1.24,0.98,3.15,1.12,3.19,1.04,1.22
h_0,0.82,1.31,0.68,1.09,0.75,0.66,0.78,0.85,1.38,1.06,0.94,1.17,0.78,1.11,1.42,1.14
a_0,0.76,1.01,0.92,0.74,0.67,0.61,1.42,1.22,1.14,1.04,1.24,1.29,1.1,2.99,1.03,1.46
g_0,0.65,0.73,0.59,1.57,0.77,0.69,1.34,0.85,0.84,1.41,2.13,1.25,0.91,1.06,0.9,1.46
e_0,0.55,0.88,1.05,1.32,0.69,0.54,1.21,1.02,1.2,1.0,0.94,1.0,1.24,1.29,1.41,3.01
