,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.95,0.43,0.38,0.56,0.38,0.29,0.3,0.48,0.26,0.23,0.24,0.23,0.25,0.17,0.18,0.21
f_1,0.73,0.95,0.4,0.41,0.41,0.25,0.25,0.27,0.23,0.25,0.27,0.14,0.23,0.14,0.19,0.17
d_1,0.52,0.53,0.95,0.39,0.38,0.25,0.31,0.23,0.24,0.45,0.29,0.27,0.26,0.22,0.18,0.18
c_1,0.41,0.53,0.47,0.94,0.68,0.3,0.31,0.21,0.27,0.15,0.24,0.25,0.25,0.16,0.16,0.2
b_1,0.55,0.48,0.47,0.37,0.94,0.54,0.32,0.31,0.27,0.26,0.18,0.28,0.32,0.18,0.16,0.22
a_1,0.53,0.69,0.6,0.51,0.36,0.94,0.4,0.37,0.29,0.41,0.33,0.3,0.3,0.24,0.13,0.28
h_1,0.79,1.01,0.7,0.69,0.65,0.41,0.75,0.45,0.51,0.42,0.39,0.32,0.33,0.3,0.28,0.37
d_0,0.73,0.78,0.56,1.29,0.66,0.48,0.49,0.68,0.41,0.39,0.39,0.46,0.4,0.29,0.31,0.37
g_1,0.83,0.71,1.16,0.6,0.63,0.51,0.43,0.44,0.75,0.49,0.41,0.61,0.39,0.34,0.34,0.27
c_0,0.99,0.89,0.78,0.6,0.63,0.39,0.55,0.45,0.44,0.68,0.73,0.43,0.44,0.37,0.35,0.33
b_0,1.09,0.84,0.82,0.75,0.41,0.44,0.54,0.56,0.47,0.45,0.67,0.46,0.51,0.37,0.64,0.34
f_0,0.87,0.87,0.86,0.75,0.69,0.52,0.68,0.53,0.45,0.57,0.49,0.66,0.47,0.58,0.26,0.37
h_0,0.95,1.14,0.95,0.83,0.57,0.51,0.42,0.57,0.6,0.52,0.5,0.49,0.35,0.37,0.32,0.51
e_0,0.72,1.3,0.84,0.94,0.7,0.54,0.67,0.6,0.49,0.62,0.53,0.5,0.52,0.64,0.32,0.44
a_0,1.03,1.06,1.0,0.9,0.73,0.38,0.6,0.57,0.58,0.53,0.44,0.56,0.56,0.5,0.62,0.4
g_0,0.89,0.94,1.27,0.99,0.83,0.51,0.58,0.49,0.48,0.58,0.52,0.72,0.43,0.39,0.35,0.35
