,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.05,0.75,1.0,0.61,0.69,0.67,0.96,1.62,0.94,0.91,1.04,1.07,1.03,0.96,0.65,0.98
f_1,1.28,2.08,0.71,0.73,0.63,0.63,0.88,0.91,0.78,0.73,0.96,0.53,0.87,0.88,0.73,0.84
c_1,0.64,0.75,2.18,0.78,1.36,0.68,0.91,0.91,0.58,0.84,0.65,0.88,1.08,0.91,0.98,0.94
d_1,0.7,0.81,0.56,2.35,0.64,0.72,0.95,0.61,1.67,1.04,1.3,1.07,1.03,1.22,1.07,1.15
b_1,0.62,0.84,0.74,0.7,2.64,1.48,0.9,0.77,0.82,0.93,0.49,0.95,0.95,0.71,1.14,0.9
a_1,0.75,0.92,0.83,0.8,0.73,3.26,1.01,0.91,1.06,0.95,1.04,0.94,0.98,0.58,0.97,0.93
h_1,0.77,1.14,0.78,0.94,0.71,0.72,2.16,0.89,1.01,1.52,1.03,1.05,0.71,0.98,1.28,1.36
d_0,0.82,0.82,1.47,0.6,0.81,0.73,1.02,1.52,0.81,1.08,1.16,1.09,1.14,1.13,1.18,1.0
c_0,0.93,0.89,0.67,1.04,0.54,0.83,1.01,1.09,1.7,1.04,1.96,1.13,1.06,1.22,1.19,1.2
g_1,0.66,0.64,0.78,1.32,0.76,0.75,1.05,0.89,1.04,2.72,1.08,1.83,1.02,1.09,1.22,0.89
b_0,0.95,0.79,0.98,0.95,0.56,0.64,1.13,1.07,1.07,1.12,1.87,1.17,1.14,2.07,0.99,1.27
f_0,0.69,0.62,0.88,0.85,0.91,0.92,1.34,1.17,1.11,1.22,1.07,2.07,1.12,1.28,2.12,1.17
h_0,0.79,1.05,0.87,0.94,0.81,0.72,0.83,1.05,1.1,1.31,1.01,1.01,0.85,1.11,1.11,1.37
a_0,0.83,0.77,0.89,0.95,0.83,0.51,1.09,1.22,1.09,1.37,1.09,1.46,1.13,2.34,1.09,1.14
e_0,0.56,0.89,0.88,1.01,0.88,0.87,1.19,1.04,1.08,1.18,1.22,1.22,1.18,1.32,2.26,0.91
g_0,0.72,0.68,0.84,1.4,0.77,0.79,1.1,0.76,1.05,0.8,0.97,1.66,1.17,1.16,1.28,0.95
