,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.44,0.7,1.23,1.23,1.1,1.18,0.33,0.25,0.26,0.35,0.28,0.35,0.18,0.25,0.19,0.41
f_1,1.09,0.43,1.05,1.11,1.09,1.03,0.24,0.23,0.23,0.37,0.22,0.32,0.13,0.2,0.17,0.21
d_1,1.33,1.15,0.42,1.31,1.21,0.96,0.3,0.38,0.21,0.2,0.23,0.21,0.15,0.22,0.11,0.18
c_1,1.0,1.3,1.61,0.4,1.02,1.16,0.38,0.15,0.36,0.35,0.26,0.24,0.18,0.26,0.19,0.23
b_1,1.42,1.53,1.54,0.77,0.37,1.37,0.49,0.31,0.38,0.47,0.47,0.27,0.2,0.31,0.19,0.24
a_1,1.61,1.9,1.84,1.53,0.97,0.3,0.61,0.36,0.43,0.6,0.51,0.37,0.26,0.59,0.25,0.3
h_1,2.03,2.08,1.96,2.2,2.07,1.89,0.3,0.45,0.42,0.67,0.41,0.38,0.42,0.44,0.32,0.33
d_0,1.47,2.06,3.21,2.62,2.4,2.52,0.82,0.34,0.51,0.78,0.56,0.57,0.42,0.45,0.42,0.57
c_0,2.48,2.44,1.37,4.58,2.62,2.08,0.73,0.59,0.32,0.55,0.47,0.48,0.34,0.45,0.37,0.46
g_1,2.28,2.35,2.09,2.82,2.85,2.44,0.55,0.53,0.46,0.28,0.48,0.45,0.26,0.43,0.44,0.46
b_0,2.38,2.53,1.94,3.3,4.85,2.22,0.66,0.53,0.28,0.66,0.31,0.45,0.36,0.41,0.34,0.41
f_0,2.62,3.51,2.37,2.82,2.77,3.11,0.78,0.58,0.54,0.52,0.52,0.29,0.44,0.52,0.26,0.48
h_0,2.95,3.16,2.8,3.18,2.87,2.3,1.09,0.64,0.51,0.75,0.58,0.55,0.53,0.65,0.4,0.52
a_0,2.82,2.97,2.84,3.29,4.04,4.55,0.99,0.61,0.52,0.79,0.35,0.56,0.49,0.29,0.57,0.6
g_0,3.13,3.22,3.02,3.29,3.5,2.87,0.72,0.7,0.61,0.93,0.68,0.57,0.39,0.59,0.61,0.56
e_0,4.29,4.72,2.56,3.3,3.07,3.5,0.9,0.81,0.69,0.82,0.61,0.3,0.52,0.59,0.37,0.3
