,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.75,0.94,1.16,1.07,1.13,1.1,1.3,1.2,1.07,0.98,1.16,1.01,1.14,1.12,1.13
f_1,1.34,1.0,0.92,0.96,0.93,0.83,0.78,1.01,0.97,0.89,0.92,0.92,0.86,0.89,1.03,0.7
d_1,1.06,1.09,1.0,0.93,0.93,0.92,1.05,1.15,0.78,1.33,1.22,0.97,1.06,0.97,0.8,0.91
c_1,0.86,1.05,1.09,1.0,1.35,0.92,1.08,0.71,0.98,0.77,0.82,0.84,0.97,0.94,1.0,1.0
b_1,0.94,1.08,1.06,0.75,1.0,1.38,1.09,0.99,1.02,1.05,0.92,1.08,0.96,0.92,0.97,1.18
a_1,0.88,1.2,1.09,1.09,0.72,1.0,1.07,1.02,1.2,1.05,1.42,1.11,1.18,1.38,1.0,1.03
h_1,0.89,1.27,0.97,0.93,0.92,0.92,1.0,1.06,1.19,1.0,0.82,0.94,1.02,0.95,1.42,1.06
d_0,0.77,0.93,0.9,1.46,1.06,0.98,0.94,1.0,1.06,0.77,1.02,1.02,1.14,0.91,1.12,1.0
g_1,0.87,0.96,1.29,1.04,1.0,0.86,0.84,0.9,1.0,0.9,0.95,1.2,0.87,0.97,1.01,1.11
c_0,0.95,1.06,0.76,1.31,0.97,0.95,1.0,1.23,1.07,1.0,1.47,1.05,1.15,1.12,1.07,1.06
b_0,1.02,1.08,0.89,1.2,1.0,0.7,1.21,0.94,1.05,0.69,1.0,1.06,1.11,1.43,0.94,0.86
f_0,0.87,1.06,1.03,1.14,0.93,0.95,1.07,1.02,0.82,0.92,0.92,1.0,1.04,0.93,0.89,1.49
h_0,0.99,1.18,0.89,1.03,1.09,0.8,1.01,0.9,1.17,0.85,0.92,0.91,1.0,0.89,1.11,0.99
a_0,0.9,1.08,1.04,1.1,1.12,0.77,1.05,1.08,1.02,0.89,0.7,0.97,1.17,1.0,1.29,0.97
g_0,0.93,0.97,1.22,1.01,1.04,0.94,0.71,0.92,1.01,0.99,1.05,1.09,0.93,0.81,1.0,1.07
e_0,0.95,1.51,1.07,0.97,0.89,0.87,1.01,0.99,1.05,0.97,1.14,0.65,1.02,1.02,0.99,1.0
