,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.67,0.86,1.26,1.44,1.3,1.2,0.67,0.61,0.65,0.46,0.49,0.58,0.38,0.46,0.46,0.68
f_1,1.39,0.66,1.14,1.35,1.09,1.22,0.42,0.62,0.47,0.41,0.44,0.64,0.29,0.42,0.33,0.39
d_1,1.44,1.49,0.64,1.33,1.16,1.12,0.63,0.43,0.82,0.58,0.46,0.49,0.39,0.44,0.28,0.43
c_1,1.14,1.44,1.49,0.64,1.76,1.17,0.61,0.59,0.31,0.6,0.4,0.42,0.39,0.41,0.4,0.44
b_1,1.53,1.62,1.65,0.82,0.62,1.61,0.67,0.69,0.48,0.67,0.91,0.54,0.45,0.56,0.47,0.45
a_1,1.85,1.71,1.63,2.02,0.98,0.56,0.98,0.78,0.71,0.68,0.84,0.64,0.55,0.9,0.52,0.55
h_1,1.86,2.34,1.88,1.98,1.97,1.64,0.57,0.88,0.74,0.69,0.65,0.68,0.77,0.7,0.65,0.6
g_1,2.2,2.12,2.37,2.0,2.16,2.09,0.79,0.54,0.85,0.7,0.72,0.78,0.54,0.7,0.72,0.7
d_0,1.37,2.34,2.51,2.54,2.5,1.87,0.96,1.12,0.62,0.73,0.76,0.74,0.76,0.73,0.8,0.61
c_0,2.2,2.66,1.47,3.17,1.92,1.76,1.08,1.24,0.98,0.6,1.04,0.76,0.76,0.78,0.72,0.75
b_0,2.22,2.22,2.08,3.82,3.02,1.88,1.01,1.02,0.84,0.49,0.58,0.76,0.65,0.88,0.54,0.68
f_0,2.16,3.55,2.23,2.19,2.12,1.88,1.18,0.74,0.98,0.94,0.87,0.56,0.72,0.86,0.53,0.88
h_0,2.74,2.8,2.39,2.7,2.43,1.95,1.33,1.24,0.84,0.82,0.97,0.79,1.05,0.78,0.81,0.76
a_0,2.47,2.73,2.61,2.91,2.9,3.3,1.16,1.17,1.02,0.96,0.59,0.99,0.88,0.55,0.74,0.72
g_0,2.59,3.38,2.92,2.97,2.9,2.19,0.98,1.36,1.03,0.88,0.95,1.0,0.59,0.92,0.85,0.82
e_0,3.11,3.83,2.78,2.73,2.96,2.44,1.41,1.1,1.04,0.91,1.11,0.59,0.93,1.14,0.68,0.55
