,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.17,5.36,16.24,20.3,14.6,13.02,4.48,2.35,3.42,2.08,3.47,4.03,1.84,,2.93,2.16
f_1,12.73,0.16,10.35,13.3,13.48,12.44,2.85,3.23,4.41,2.89,,1.71,1.28,4.12,2.41,2.15
d_1,13.92,12.58,0.16,13.1,12.49,10.53,3.7,,2.55,2.6,2.2,3.07,1.63,4.27,3.39,1.05
c_1,11.6,21.16,13.92,0.16,13.34,12.44,2.8,1.39,3.13,,2.94,3.07,1.96,2.56,2.54,2.06
b_1,15.68,19.26,12.9,6.34,0.14,17.0,3.69,2.61,4.01,3.3,2.3,,2.05,2.78,2.01,1.59
a_1,11.98,13.01,15.21,15.21,7.93,0.1,4.15,2.54,3.98,3.74,1.81,4.12,1.81,,,1.9
h_1,3.06,3.53,3.19,3.19,3.02,3.92,0.07,0.71,1.0,0.57,0.85,0.73,,0.6,0.55,0.51
d_0,1.44,3.45,,3.19,2.53,2.54,0.75,0.09,0.98,0.58,0.5,0.44,0.27,0.47,0.51,0.39
g_1,4.24,3.62,3.03,5.1,3.83,3.98,0.68,0.63,0.06,0.71,0.75,0.73,0.37,0.66,0.58,
c_0,3.12,1.9,1.32,,2.83,4.0,0.81,0.75,0.66,0.08,0.74,0.54,0.32,0.48,0.5,0.3
f_0,3.47,,2.73,2.03,2.46,3.75,0.82,0.5,0.37,0.48,0.07,0.62,0.37,0.65,0.75,0.25
b_0,2.12,3.21,2.73,2.83,,2.27,0.79,0.46,0.94,0.36,0.5,0.07,0.36,0.57,0.53,0.43
h_0,1.84,1.86,1.9,1.31,2.05,1.29,,0.37,0.53,0.3,0.36,0.36,,0.23,0.34,0.22
e_0,,3.15,2.56,2.7,2.23,,0.55,0.57,0.74,0.58,0.25,0.53,0.62,0.05,,0.44
a_0,3.97,2.8,3.91,2.67,2.94,,0.62,0.4,0.65,0.65,0.43,0.27,0.39,,0.05,0.35
g_0,2.25,2.15,1.98,1.7,1.79,2.17,0.31,0.48,,0.29,0.37,0.33,0.2,0.26,0.28,
