,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.13,4.61,4.93,4.88,5.65,5.13,1.12,0.97,1.66,0.91,0.91,2.24,0.51,0.94,1.04,0.88
e_1,2.91,1.12,5.81,6.45,6.16,6.48,1.7,1.08,1.78,1.14,0.97,1.3,0.92,1.1,2.47,0.89
d_1,6.49,7.06,1.12,5.38,5.05,4.58,1.4,1.03,0.89,3.66,1.08,1.09,0.81,1.07,1.16,0.47
c_1,5.75,5.02,8.44,1.13,5.73,4.65,1.92,2.08,1.81,0.63,1.11,1.03,0.95,1.07,1.0,0.79
b_1,6.54,6.55,5.96,3.33,1.13,7.63,1.62,1.63,2.18,1.41,2.97,1.12,0.96,1.41,1.13,0.95
a_1,10.6,11.2,8.71,14.33,4.64,1.14,2.75,2.37,3.11,1.91,3.23,2.07,1.5,6.81,2.71,1.73
h_1,18.83,17.13,14.96,21.16,15.76,15.03,1.78,3.85,6.15,4.55,5.58,4.01,4.91,3.46,3.46,2.58
c_0,26.39,20.88,11.16,58.09,25.73,18.06,6.99,2.21,5.52,5.41,4.76,4.82,3.09,4.82,4.19,3.38
g_1,24.43,19.71,22.85,24.96,24.88,21.17,5.62,6.76,1.82,5.32,4.31,5.0,2.59,6.37,4.44,8.29
d_0,29.88,12.92,37.4,28.53,29.51,24.31,7.78,5.7,8.85,2.6,4.88,4.2,3.23,4.59,4.8,4.24
b_0,28.47,25.94,20.31,37.59,47.78,28.54,6.99,2.96,9.36,5.62,2.37,5.91,3.31,5.81,5.37,5.04
f_0,63.44,26.33,20.57,23.67,26.88,28.13,8.85,5.61,4.82,5.32,6.2,2.43,4.58,5.64,7.2,2.47
h_0,33.48,32.07,31.95,39.44,32.37,30.77,15.13,8.31,9.36,7.91,6.2,6.87,7.87,7.75,7.35,6.0
a_0,44.64,35.28,35.77,31.32,49.34,70.32,11.4,7.42,10.25,7.33,3.49,6.55,5.49,2.58,7.5,5.9
e_0,55.63,70.56,33.58,39.44,36.71,49.22,11.72,7.34,11.33,10.19,6.81,3.72,5.96,7.31,2.52,5.9
g_0,56.5,40.55,36.57,42.6,36.27,37.87,8.49,9.86,18.46,8.97,8.12,9.65,3.93,8.06,6.67,8.92
