,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.06,1.48,2.07,2.61,2.01,2.04,0.86,0.8,0.8,0.6,0.52,0.56,0.48,0.99,0.57,0.55
f_1,2.55,1.06,2.07,2.07,2.27,1.52,0.62,0.67,0.87,0.57,0.59,0.71,0.39,0.42,0.51,0.47
d_1,2.81,2.67,1.06,2.31,2.32,1.84,0.87,1.34,0.6,0.71,0.63,0.67,0.51,0.67,0.52,0.35
c_1,1.96,2.61,2.78,1.06,3.01,2.14,0.9,0.42,0.96,1.0,0.77,0.77,0.56,0.54,0.55,0.42
b_1,2.84,2.67,2.79,1.61,1.07,3.13,0.97,0.84,1.02,0.89,1.67,0.84,0.82,0.69,0.88,0.57
a_1,3.86,4.35,4.2,3.59,1.97,1.07,1.59,1.32,1.25,1.44,1.37,1.02,0.94,1.13,1.78,1.06
h_1,6.02,7.58,6.07,6.09,5.76,4.35,1.35,2.11,2.61,1.75,1.8,1.41,1.98,1.46,1.52,1.32
d_0,4.32,7.61,8.78,9.79,6.76,5.67,2.76,1.51,2.69,2.43,1.98,1.99,1.5,1.5,1.78,1.67
g_1,7.39,8.03,7.68,6.69,6.92,6.46,2.09,2.28,1.35,2.15,2.18,2.06,1.32,2.06,1.73,1.76
c_0,9.28,8.02,4.57,13.49,7.76,4.81,3.09,2.53,2.48,1.52,2.5,2.07,1.57,1.9,1.88,1.55
b_0,8.44,7.64,6.96,9.09,11.25,6.71,3.15,2.8,3.08,1.57,1.54,2.27,1.86,2.19,2.28,1.89
f_0,9.09,14.36,7.65,9.1,7.72,6.94,3.69,2.36,2.06,2.65,2.57,1.56,1.92,2.21,2.16,1.32
h_0,9.72,11.46,9.62,10.31,7.67,8.55,4.51,3.09,3.69,3.02,2.93,2.79,3.03,2.71,2.13,2.44
e_0,11.97,16.6,9.69,13.52,11.47,8.58,4.25,3.47,3.5,3.35,3.07,1.97,2.46,1.59,2.53,2.25
a_0,11.61,12.45,11.19,14.15,12.66,14.69,4.68,3.65,3.56,3.08,1.84,4.07,2.91,3.45,1.64,2.5
g_0,12.76,14.19,13.76,12.48,12.04,9.31,4.2,3.54,6.55,3.81,4.16,3.97,2.19,3.07,3.23,3.22
