,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.07,11.7,7.94,8.55,8.05,6.88,3.09,2.7,2.73,3.82,2.97,,2.38,1.67,2.62,2.55
e_1,6.23,1.07,11.46,8.47,8.42,9.46,3.01,2.67,2.79,3.72,3.04,3.91,2.72,1.96,,2.23
d_1,11.25,10.58,1.07,9.25,9.36,10.75,4.86,3.15,,2.67,2.77,3.04,2.9,1.95,2.85,1.44
c_1,11.21,12.87,13.46,1.07,15.53,8.81,3.42,,1.91,3.37,2.75,2.69,3.76,2.2,2.78,1.63
b_1,10.02,11.47,11.34,6.19,1.07,11.49,4.66,3.19,3.74,4.41,,2.71,2.55,3.09,2.14,2.54
a_1,16.48,14.78,14.19,14.97,8.26,1.07,6.58,4.5,4.73,4.24,4.1,3.18,,2.79,4.09,3.01
h_1,13.12,14.91,14.1,17.42,14.61,9.8,1.41,5.05,4.4,6.36,3.72,4.2,2.91,,2.76,2.44
c_0,14.18,16.13,8.56,,14.61,11.71,4.46,1.75,3.92,5.33,4.6,4.11,3.48,2.77,3.99,2.83
d_0,15.16,9.45,,14.39,11.18,12.94,5.01,5.65,1.72,5.06,4.53,4.56,3.42,2.36,5.79,2.88
g_1,16.41,15.06,16.82,15.0,12.83,17.58,5.8,4.38,5.53,1.41,4.17,4.88,4.13,4.33,,
b_0,13.3,15.77,13.78,18.74,,14.02,5.73,2.87,4.46,5.7,1.73,4.42,5.97,2.81,4.15,3.07
f_0,,14.5,15.39,14.85,17.51,17.01,5.39,6.2,4.21,4.33,5.36,1.74,6.9,3.89,5.03,2.65
a_0,22.02,21.01,21.18,17.95,25.6,,6.96,6.55,6.89,6.65,3.43,4.69,1.75,5.14,6.3,
h_0,21.62,16.57,16.72,16.92,15.11,15.43,,4.52,7.34,4.99,5.92,5.19,3.68,,3.01,4.33
e_0,22.74,,22.09,21.22,28.51,17.79,8.38,6.45,5.29,,8.05,3.57,4.87,5.3,1.75,
g_0,20.9,17.48,22.27,23.7,18.96,16.08,6.33,6.3,7.54,,5.75,5.9,,4.26,,
