,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.41,0.83,0.8,0.81,0.86,0.76,0.33,0.47,0.36,0.32,0.33,0.41,0.31,0.22,0.35,0.32
e_1,0.57,0.41,0.86,0.82,0.87,0.82,0.51,0.46,0.48,0.39,0.4,0.47,0.4,0.32,0.33,0.5
d_1,0.82,0.88,0.4,0.83,0.74,0.76,0.41,0.28,0.5,0.42,0.4,0.35,0.35,0.31,0.23,0.39
c_1,0.77,0.74,0.9,0.39,0.94,0.8,0.42,0.39,0.23,0.47,0.31,0.33,0.34,0.3,0.3,0.3
b_1,0.8,0.87,0.89,0.51,0.36,0.9,0.49,0.53,0.39,0.41,0.44,0.41,0.4,0.35,0.34,0.43
a_1,0.97,0.84,0.73,0.91,0.48,0.31,0.52,0.49,0.38,0.39,0.4,0.33,0.81,0.42,0.3,0.39
h_1,0.85,0.6,0.73,0.79,0.71,0.61,0.24,0.46,0.33,0.33,0.32,0.31,0.3,0.37,0.28,0.33
g_1,0.74,0.74,0.8,0.84,0.68,0.63,0.3,0.22,0.29,0.31,0.32,0.33,0.27,0.21,0.35,0.29
d_0,0.72,0.46,1.2,0.89,0.73,0.72,0.36,0.55,0.25,0.31,0.32,0.3,0.33,0.31,0.26,0.3
c_0,0.9,0.69,0.43,1.06,0.78,0.71,0.35,0.44,0.45,0.24,0.43,0.35,0.37,0.31,0.3,0.32
b_0,0.75,0.62,0.57,0.98,1.31,0.68,0.41,0.4,0.36,0.19,0.23,0.3,0.41,0.31,0.32,0.31
f_0,0.99,0.63,0.67,0.76,0.69,0.74,0.41,0.31,0.34,0.28,0.37,0.22,0.34,0.3,0.2,0.5
a_0,0.79,0.63,0.7,0.72,0.93,0.88,0.43,0.44,0.32,0.27,0.2,0.32,0.21,0.27,0.26,0.25
h_0,0.86,0.71,0.68,0.74,0.73,0.54,0.46,0.45,0.33,0.32,0.27,0.3,0.33,0.35,0.27,0.32
g_0,0.75,0.68,0.74,0.75,0.72,0.66,0.31,0.42,0.34,0.32,0.3,0.35,0.34,0.23,0.33,0.28
e_0,0.95,0.84,0.64,0.81,0.65,0.65,0.34,0.41,0.31,0.28,0.31,0.15,0.42,0.28,0.25,0.18
