,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.91,1.76,1.36,1.41,1.32,0.77,0.62,0.48,0.59,0.53,0.57,0.49,0.46,0.72,0.45
f_1,1.61,0.66,1.31,1.27,1.36,1.39,0.47,0.5,0.49,0.67,0.51,0.64,0.42,0.31,0.39,0.42
c_1,1.18,1.7,0.65,1.83,1.38,1.17,0.69,0.35,0.75,0.6,0.48,0.52,0.45,0.44,0.52,0.43
d_1,1.73,1.61,1.22,0.64,1.39,1.25,0.66,0.89,0.54,0.49,0.54,0.57,0.49,0.44,0.46,0.28
b_1,1.44,1.76,1.02,1.47,0.64,1.6,0.69,0.57,0.62,0.66,0.71,0.51,0.56,0.44,0.53,0.47
a_1,1.77,1.6,2.16,1.9,1.21,0.57,0.92,0.78,0.7,0.89,0.67,0.65,0.96,0.59,0.72,0.6
h_1,2.09,2.65,2.27,2.02,2.14,1.7,0.57,0.94,0.81,1.14,0.81,0.77,0.8,1.11,0.65,0.66
d_0,1.44,2.33,3.28,3.23,2.47,1.98,1.01,0.62,0.88,1.47,0.91,0.75,0.74,0.68,0.75,0.73
c_0,2.67,2.57,3.85,1.54,2.5,2.32,1.08,1.0,0.62,1.16,0.93,0.85,0.69,0.69,0.7,0.61
g_1,2.79,2.77,2.51,2.41,2.64,2.13,0.79,0.83,0.82,0.53,0.79,0.91,0.9,0.53,0.79,0.9
b_0,2.53,2.65,3.08,2.11,3.76,2.41,1.04,1.12,0.58,1.08,0.59,0.78,1.04,0.69,0.81,0.74
f_0,1.97,4.38,2.65,2.53,2.76,2.56,1.25,1.03,0.84,0.82,0.92,0.58,0.95,0.87,1.06,0.48
a_0,2.57,3.03,3.28,2.7,3.46,2.79,1.22,1.17,0.95,1.21,0.6,0.91,0.59,0.89,0.88,0.81
h_0,2.63,3.43,2.81,2.59,2.71,2.38,1.37,0.96,1.07,1.33,1.05,0.81,0.98,0.94,0.82,0.84
e_0,3.77,3.53,3.17,2.6,3.02,2.29,1.27,1.24,1.15,1.23,1.16,0.64,1.09,0.83,0.57,0.89
g_0,2.83,3.01,3.09,3.51,2.82,2.18,1.2,1.18,1.29,2.09,1.01,1.28,1.2,0.67,0.91,1.01
