,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.89,0.37,0.21,0.21,0.16,0.14,0.16,0.15,0.16,0.17,0.17,0.07,0.12,0.16,0.07,0.14
e_1,0.23,0.89,0.16,0.24,0.2,0.12,0.2,0.13,0.18,0.37,0.19,0.15,0.14,0.18,0.06,0.15
d_1,0.26,0.2,0.89,0.17,0.18,0.14,0.21,0.16,0.35,0.08,0.22,0.2,0.14,0.2,0.11,0.16
c_1,0.19,0.22,0.21,0.9,0.38,0.11,0.15,0.11,0.06,0.17,0.11,0.13,0.12,0.17,0.09,0.14
b_1,0.23,0.17,0.25,0.22,0.89,0.21,0.16,0.13,0.18,0.18,0.08,0.15,0.1,0.2,0.13,0.16
a_1,0.26,0.2,0.23,0.22,0.16,0.88,0.2,0.16,0.22,0.2,0.17,0.15,0.06,0.2,0.12,0.18
h_1,0.38,0.24,0.34,0.23,0.21,0.13,0.57,0.26,0.26,0.22,0.22,0.16,0.13,0.14,0.13,0.26
g_1,0.28,0.21,0.42,0.26,0.18,0.14,0.19,0.58,0.18,0.18,0.21,0.31,0.14,0.21,0.18,0.12
c_0,0.32,0.24,0.32,0.17,0.16,0.17,0.28,0.23,0.48,0.22,0.44,0.21,0.22,0.25,0.16,0.19
d_0,0.27,0.27,0.13,0.48,0.24,0.15,0.28,0.19,0.15,0.44,0.2,0.17,0.15,0.21,0.12,0.19
b_0,0.34,0.28,0.33,0.27,0.11,0.12,0.22,0.21,0.24,0.23,0.46,0.21,0.37,0.27,0.13,0.19
f_0,0.2,0.25,0.3,0.29,0.24,0.17,0.23,0.24,0.27,0.22,0.23,0.41,0.18,0.26,0.29,0.18
a_0,0.3,0.22,0.34,0.26,0.25,0.08,0.28,0.21,0.23,0.22,0.22,0.19,0.4,0.27,0.17,0.19
h_0,0.41,0.25,0.33,0.23,0.18,0.17,0.15,0.29,0.22,0.21,0.24,0.17,0.14,0.13,0.14,0.22
e_0,0.32,0.12,0.34,0.31,0.19,0.17,0.3,0.23,0.22,0.24,0.22,0.21,0.17,0.24,0.42,0.23
g_0,0.22,0.21,0.49,0.24,0.21,0.16,0.24,0.15,0.24,0.17,0.23,0.29,0.17,0.19,0.15,0.13
