,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.4,0.72,0.57,0.71,0.66,0.58,0.29,0.29,0.33,0.42,0.32,0.33,0.27,0.21,0.25,0.27
e_1,0.44,0.4,0.71,0.78,0.72,0.73,0.36,0.32,0.38,0.42,0.31,0.4,0.3,0.26,0.42,0.28
d_1,0.79,0.71,0.38,0.65,0.64,0.58,0.37,0.31,0.36,0.25,0.29,0.3,0.28,0.25,0.34,0.18
c_1,0.72,0.56,0.78,0.38,0.76,0.61,0.35,0.36,0.19,0.33,0.27,0.3,0.29,0.25,0.28,0.23
b_1,0.69,0.67,0.73,0.43,0.37,0.85,0.4,0.38,0.29,0.4,0.45,0.29,0.32,0.3,0.29,0.31
a_1,0.75,0.72,0.77,0.75,0.4,0.32,0.44,0.31,0.35,0.38,0.35,0.32,0.41,0.26,0.34,0.26
h_1,0.67,0.61,0.59,0.64,0.66,0.57,0.24,0.29,0.32,0.33,0.29,0.27,0.27,0.32,0.26,0.25
c_0,0.66,0.7,0.43,0.8,0.66,0.63,0.34,0.23,0.39,0.35,0.35,0.29,0.32,0.25,0.28,0.24
d_0,0.59,0.41,0.85,0.79,0.77,0.62,0.34,0.29,0.24,0.4,0.29,0.31,0.3,0.24,0.29,0.28
g_1,0.63,0.6,0.73,0.7,0.62,0.57,0.29,0.28,0.3,0.22,0.26,0.31,0.27,0.2,0.27,0.29
b_0,0.58,0.63,0.56,0.88,0.72,0.57,0.3,0.19,0.36,0.35,0.23,0.31,0.31,0.25,0.25,0.25
f_0,0.84,0.57,0.59,0.64,0.65,0.61,0.35,0.29,0.3,0.23,0.26,0.21,0.31,0.24,0.34,0.18
a_0,0.67,0.63,0.58,0.61,0.72,0.65,0.31,0.24,0.31,0.33,0.2,0.31,0.21,0.27,0.3,0.26
h_0,0.7,0.59,0.62,0.65,0.57,0.61,0.36,0.27,0.31,0.37,0.28,0.27,0.25,0.28,0.24,0.25
e_0,0.93,0.72,0.53,0.62,0.58,0.58,0.35,0.28,0.33,0.31,0.32,0.16,0.3,0.22,0.19,0.21
g_0,0.71,0.6,0.63,0.77,0.54,0.56,0.29,0.26,0.3,0.35,0.27,0.27,0.25,0.19,0.26,0.28
