,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.06,2.32,2.17,1.97,2.09,1.75,0.66,0.64,0.6,0.86,0.63,0.82,0.48,0.37,0.45,0.52
c_1,2.24,1.06,1.85,2.67,3.29,1.98,0.74,0.44,0.87,0.81,0.53,0.53,0.63,0.48,0.56,0.53
e_1,1.77,2.76,1.06,2.4,2.03,2.11,0.95,0.9,0.72,0.9,0.71,0.79,0.55,0.63,0.94,0.58
b_1,3.01,1.51,2.47,1.06,2.5,2.67,1.09,0.77,0.94,1.05,1.0,0.69,0.68,0.56,0.64,0.54
d_1,2.67,2.34,3.24,2.44,1.06,1.86,0.87,1.3,0.86,0.59,0.72,0.77,0.78,0.65,0.6,0.37
a_1,3.78,3.79,3.82,2.13,3.17,1.07,1.46,1.15,0.97,1.34,1.17,0.93,1.6,0.76,0.96,0.81
h_1,7.3,7.19,5.23,5.61,6.52,4.94,1.34,1.98,1.97,2.92,1.91,1.67,1.64,2.38,1.47,1.33
d_0,7.68,7.81,4.38,7.63,9.0,6.85,2.63,1.52,1.88,2.55,1.53,1.68,1.71,1.31,1.89,1.38
c_0,7.51,13.01,7.09,6.85,4.36,6.83,2.91,3.14,1.5,2.45,2.33,1.86,2.2,1.66,1.87,1.6
g_1,6.69,7.62,7.73,6.36,7.77,6.3,2.03,2.37,2.24,1.33,2.19,2.28,2.09,1.32,1.77,2.36
b_0,7.38,13.62,8.13,10.84,6.91,6.98,2.99,3.43,1.58,3.06,1.57,2.04,2.63,1.76,2.05,2.09
f_0,13.82,11.16,9.26,8.12,6.71,7.33,3.56,2.87,2.33,2.15,2.67,1.56,2.18,2.26,2.38,1.32
a_0,11.49,12.81,10.26,12.42,8.83,11.29,3.95,3.43,2.49,3.9,1.63,2.91,1.56,2.61,2.44,2.08
h_0,10.74,11.03,9.84,11.3,9.2,9.76,4.64,3.12,2.91,3.69,2.82,2.68,2.28,2.97,2.68,2.15
e_0,13.9,11.57,21.22,9.85,10.33,9.48,5.37,3.31,3.15,3.87,2.94,1.96,2.8,2.42,1.64,2.04
g_0,11.01,11.53,10.75,11.7,12.07,10.14,3.89,3.82,3.37,4.89,2.63,3.69,3.3,2.48,2.71,3.23
