,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.62,0.54,0.7,0.52,0.4,0.41,0.59,0.37,0.35,0.38,0.38,0.38,0.27,0.22,0.29
f_1,0.94,0.96,0.54,0.59,0.45,0.37,0.41,0.43,0.37,0.34,0.38,0.29,0.31,0.26,0.19,0.32
d_1,0.69,0.72,0.96,0.45,0.53,0.44,0.44,0.33,0.6,0.33,0.44,0.37,0.36,0.29,0.27,0.29
c_1,0.58,0.64,0.67,0.96,0.86,0.47,0.42,0.37,0.31,0.35,0.31,0.34,0.35,0.23,0.26,0.31
b_1,0.68,0.72,0.65,0.53,0.95,0.76,0.44,0.43,0.43,0.43,0.35,0.43,0.35,0.24,0.31,0.3
a_1,0.81,0.89,0.66,0.66,0.51,0.94,0.55,0.52,0.44,0.34,0.45,0.37,0.42,0.3,0.33,0.4
h_1,0.98,1.12,0.97,0.84,0.69,0.5,0.81,0.56,0.61,0.61,0.56,0.53,0.47,0.43,0.36,0.54
d_0,0.93,1.0,0.78,1.3,0.89,0.64,0.62,0.74,0.47,0.54,0.54,0.54,0.57,0.4,0.4,0.51
c_0,1.13,1.18,0.9,0.78,0.72,0.68,0.73,0.61,0.77,0.57,0.86,0.56,0.52,0.53,0.43,0.51
g_1,0.91,0.95,1.31,0.86,0.73,0.73,0.65,0.56,0.65,0.81,0.59,0.73,0.51,0.38,0.53,0.42
b_0,1.09,1.08,1.0,1.01,0.7,0.59,0.73,0.65,0.61,0.58,0.74,0.56,0.59,0.71,0.42,0.5
f_0,0.88,1.07,1.08,1.06,0.82,0.71,0.71,0.66,0.67,0.56,0.67,0.76,0.6,0.47,0.7,0.45
h_0,1.14,1.36,1.11,1.05,0.96,0.72,0.74,0.66,0.71,0.78,0.66,0.64,0.54,0.46,0.48,0.63
a_0,1.24,1.25,1.13,1.15,0.95,0.54,0.78,0.7,0.65,0.69,0.57,0.7,0.71,0.69,0.44,0.55
e_0,1.12,1.4,1.17,1.01,0.93,0.78,0.89,0.72,0.76,0.64,0.82,0.64,0.65,0.56,0.69,0.53
g_0,1.18,1.06,1.48,1.03,0.98,0.68,0.76,0.63,0.75,0.57,0.73,0.88,0.58,0.55,0.58,0.54
