,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.21,0.21,0.19,0.16,0.22,0.16,0.51,0.93,0.4,0.16,0.49,0.43,0.6,0.4,0.58,0.5
f_1,0.21,2.27,0.43,0.18,0.16,0.15,0.44,0.44,0.32,0.57,0.49,0.1,0.55,0.33,0.4,0.35
e_1,0.26,0.25,2.31,0.23,0.21,0.18,0.37,0.43,0.26,0.86,0.46,0.44,0.57,0.33,0.45,0.09
c_1,0.26,0.22,0.21,2.51,0.39,0.14,0.28,0.07,0.34,0.45,0.31,0.38,0.61,0.3,0.55,0.43
b_1,0.26,0.21,0.21,0.17,2.6,0.32,0.41,0.49,0.3,0.43,0.13,0.55,0.61,0.29,0.53,0.34
a_1,0.23,0.31,0.2,0.21,0.14,3.06,0.38,0.49,0.37,0.41,0.65,0.44,0.61,0.07,0.6,0.25
h_1,0.41,0.53,0.39,0.41,0.26,0.24,2.78,0.84,1.01,0.67,0.71,0.78,0.46,0.74,1.2,0.54
c_0,0.44,0.42,0.41,0.2,0.33,0.27,0.91,2.25,0.71,0.87,1.59,0.83,1.09,1.07,1.31,0.71
g_1,0.67,0.33,0.33,0.43,0.28,0.27,0.68,0.69,3.08,0.53,0.72,1.24,1.01,0.6,0.54,0.66
d_0,0.11,0.43,0.41,0.83,0.41,0.28,0.66,0.68,0.64,2.24,0.83,0.7,1.04,0.51,0.6,0.49
b_0,0.36,0.51,0.38,0.49,0.08,0.31,0.81,0.94,0.71,0.69,2.4,0.93,1.14,1.54,1.1,0.7
f_0,0.52,0.22,0.27,0.48,0.34,0.25,0.72,1.01,1.01,0.97,0.81,2.53,1.08,0.89,1.05,1.48
h_0,0.45,0.61,0.38,0.34,0.31,0.22,0.31,0.71,0.81,0.88,0.71,0.79,0.36,0.82,1.27,0.7
a_0,0.51,0.4,0.42,0.38,0.36,,1.02,0.92,0.63,0.88,0.8,0.86,1.38,2.78,1.28,0.86
g_0,0.65,0.34,0.3,0.36,0.31,0.24,0.66,0.7,0.48,0.72,0.71,1.31,0.96,0.73,0.44,0.74
e_0,0.44,0.54,0.14,0.37,0.39,0.32,0.87,0.9,0.95,1.03,0.92,0.82,1.04,0.97,0.82,2.8
