,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.29,0.54,0.58,0.36,0.41,0.33,0.76,1.93,1.04,0.71,1.09,1.05,0.94,1.3,0.38,1.18
f_1,0.91,2.34,0.48,0.35,0.39,0.34,0.76,1.1,1.02,0.64,0.94,0.35,0.8,1.16,0.48,0.86
c_1,0.46,0.47,2.38,0.48,0.86,0.25,0.87,0.9,0.31,0.87,0.79,0.86,0.75,1.03,0.88,0.96
d_1,0.41,0.66,0.38,2.45,0.43,0.33,1.02,0.42,1.93,0.89,0.99,0.99,0.75,1.23,0.67,1.01
b_1,0.48,0.42,0.53,0.48,2.52,0.74,1.02,1.14,0.95,0.64,0.35,0.85,0.67,1.01,0.64,1.14
a_1,0.46,0.56,0.46,0.55,0.4,3.08,1.0,0.78,1.01,0.69,1.0,1.11,0.38,1.49,1.05,1.13
h_1,0.54,0.71,0.47,0.74,0.53,0.47,2.95,1.06,1.16,1.36,1.19,1.05,1.02,0.88,1.01,1.95
d_0,0.61,0.54,1.23,0.3,0.5,0.44,0.9,2.42,0.99,0.85,1.28,1.08,1.07,1.66,0.96,1.17
c_0,0.57,0.66,0.37,0.68,0.49,0.54,1.07,1.33,2.52,1.19,2.2,1.37,1.19,1.53,1.19,1.54
g_1,0.51,0.46,0.57,1.04,0.47,0.36,1.16,0.98,1.28,3.29,1.29,1.68,0.94,1.44,0.94,0.68
b_0,0.63,0.57,0.57,0.72,0.31,0.5,1.19,1.27,1.19,1.21,2.76,1.04,2.44,1.44,1.05,1.44
f_0,0.51,0.32,0.67,0.72,0.5,0.41,1.23,1.48,1.35,0.98,1.59,3.01,1.16,1.41,2.4,1.32
a_0,0.68,0.68,0.69,0.52,0.54,0.09,1.1,1.58,1.42,1.23,1.28,1.18,3.03,1.62,1.0,1.5
h_0,0.6,0.8,0.68,0.67,0.51,0.5,0.63,1.19,1.11,1.22,1.46,1.21,0.97,1.02,1.07,1.71
e_0,0.26,0.54,0.84,0.7,0.68,0.47,1.02,1.42,1.15,0.93,1.28,1.26,1.16,1.85,3.24,1.39
g_0,0.51,0.49,0.58,1.06,0.53,0.48,1.01,1.19,1.41,0.59,1.44,1.64,0.96,1.75,1.06,0.74
