,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.13,0.91,0.92,0.88,0.79,0.94,0.75,0.64,0.7,0.63,0.65,0.6,0.6,0.61
f_1,1.26,1.0,1.0,0.86,0.97,0.88,0.6,0.62,0.59,0.64,0.46,0.54,0.45,0.48,0.56,0.46
c_1,0.87,1.01,1.0,1.14,1.35,0.84,0.66,0.48,0.62,0.52,0.63,0.55,0.7,0.57,0.65,0.53
d_1,1.09,1.17,0.88,1.0,0.94,0.74,0.71,0.78,0.58,0.87,0.62,0.74,0.65,0.56,0.51,0.54
b_1,1.08,1.03,0.74,1.06,1.0,1.33,0.8,0.66,0.8,0.66,0.76,0.68,0.65,0.6,0.51,0.53
a_1,1.15,1.14,1.19,1.37,0.75,1.0,0.84,0.83,0.78,0.81,0.86,1.0,0.71,0.66,0.75,0.97
h_1,1.3,1.71,1.51,1.37,1.24,1.22,1.0,0.88,1.09,0.8,0.78,0.78,0.71,0.77,0.88,0.72
d_0,1.08,1.57,2.16,1.24,1.56,1.12,1.1,1.0,0.97,0.8,0.86,0.8,0.94,0.86,0.84,0.85
g_1,1.4,1.6,1.57,1.72,1.28,1.2,0.94,1.01,1.0,0.89,1.09,0.85,0.77,0.97,0.78,0.72
c_0,1.62,1.56,1.83,1.15,1.42,1.22,1.23,1.32,1.12,1.0,1.0,1.3,0.88,1.02,0.89,0.84
f_0,1.47,2.04,1.63,1.58,1.47,1.17,1.23,1.07,0.89,0.96,1.0,1.0,1.01,0.9,0.75,1.38
b_0,1.68,1.82,1.73,1.33,1.58,1.03,1.27,1.22,1.19,0.75,0.97,1.0,0.94,1.27,0.84,0.89
h_0,1.6,2.12,1.4,1.59,1.55,1.37,1.41,1.08,1.27,1.13,0.94,1.04,1.0,0.98,1.14,0.85
a_0,1.77,1.94,1.85,1.72,1.73,1.42,1.27,1.14,0.99,1.02,1.06,0.81,1.0,1.0,1.01,0.92
g_0,1.75,1.73,1.55,1.98,1.81,1.4,1.18,1.19,1.27,1.14,1.34,1.12,0.85,1.02,1.0,0.99
e_0,1.68,2.07,1.87,1.83,1.86,1.14,1.36,1.14,1.45,1.24,0.72,1.1,1.13,1.04,0.98,1.01
