,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.66,0.95,1.54,1.44,1.4,1.43,0.76,0.64,0.7,0.51,0.57,0.52,0.48,0.48,0.43,0.77
f_1,1.51,0.65,1.48,1.19,1.49,1.33,0.52,0.54,0.6,0.52,0.54,0.44,0.3,0.42,0.45,0.42
c_1,1.18,1.51,0.64,1.77,1.75,1.29,0.61,0.33,0.58,0.67,0.49,0.5,0.51,0.5,0.5,0.44
d_1,1.71,1.63,1.37,0.64,1.44,1.09,0.6,0.98,0.48,0.59,0.49,0.6,0.44,0.49,0.31,0.45
b_1,1.65,1.59,0.97,1.61,0.63,1.66,0.76,0.59,0.78,0.58,0.64,0.85,0.46,0.58,0.38,0.46
a_1,1.87,1.73,1.83,2.04,0.93,0.58,0.85,0.78,0.74,0.77,0.75,1.03,0.56,0.94,0.64,0.93
h_1,2.1,2.53,2.33,1.96,1.97,2.05,0.58,0.79,0.98,0.68,0.64,0.67,0.69,0.67,0.65,0.61
d_0,1.38,2.59,2.83,2.9,2.6,2.0,1.1,0.64,1.05,0.81,0.76,0.7,0.75,0.77,0.69,0.76
g_1,2.27,2.72,2.5,2.38,2.16,2.0,0.85,0.95,0.56,0.82,0.87,0.81,0.56,0.97,0.84,0.71
c_0,2.49,2.41,4.4,1.48,2.45,2.26,1.19,1.32,1.15,0.61,0.86,0.98,0.67,0.98,0.68,0.75
f_0,2.38,4.45,2.54,2.45,2.33,2.08,1.16,0.98,0.8,0.84,0.62,0.88,0.79,0.82,0.52,1.1
b_0,2.69,2.86,3.04,2.06,3.53,1.98,1.22,1.07,1.28,0.56,0.85,0.58,0.72,0.94,0.67,0.81
h_0,2.67,3.27,2.34,2.48,2.57,2.51,1.88,1.05,1.26,1.04,0.9,0.99,1.05,0.96,0.88,0.79
a_0,2.78,3.27,3.02,3.06,3.13,3.65,1.31,1.0,1.11,0.99,0.97,0.62,0.82,0.56,0.83,0.82
g_0,3.02,3.13,2.66,2.82,3.18,2.75,1.19,1.18,1.86,1.03,1.12,1.07,0.66,1.01,0.94,0.92
e_0,3.69,3.85,3.09,2.96,3.17,2.16,1.36,1.07,1.63,1.15,0.59,1.04,0.9,0.96,0.77,0.58
