,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.88,1.56,1.18,1.72,2.97,18.62,33.53,32.05,31.61,47.65,46.72,80.15,98.1,116.65,142.54
f_1,1.15,1.0,1.17,1.04,1.38,2.77,13.87,22.32,26.16,27.83,32.75,39.2,54.73,82.21,105.22,89.09
c_1,0.64,0.86,1.0,1.18,1.73,2.29,12.99,13.63,21.47,21.04,30.14,31.21,64.14,69.4,96.13,87.21
d_1,0.83,0.97,0.84,1.0,1.17,2.01,13.06,18.2,18.58,31.54,32.65,40.51,56.59,73.53,74.71,89.63
b_1,0.59,0.71,0.58,0.87,1.0,2.66,11.8,14.73,20.62,21.51,26.69,30.35,45.83,55.54,59.34,74.59
a_1,0.34,0.36,0.43,0.5,0.39,1.0,6.27,8.87,10.87,11.55,16.46,21.11,26.14,30.64,39.09,52.79
h_1,0.05,0.07,0.08,0.07,0.09,0.16,1.0,1.25,1.88,1.62,2.17,2.33,4.2,4.82,6.41,6.47
d_0,0.03,0.04,0.07,0.05,0.07,0.11,0.8,1.0,1.24,0.96,1.59,1.61,3.17,3.85,4.36,5.27
g_1,0.03,0.04,0.05,0.05,0.05,0.09,0.53,0.85,1.0,1.03,1.65,1.54,2.06,2.91,3.43,4.09
c_0,0.03,0.04,0.05,0.03,0.04,0.08,0.6,1.04,0.97,1.0,1.36,1.99,2.22,3.36,3.2,4.02
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.46,0.59,0.57,0.72,1.0,1.14,1.95,2.13,2.07,4.4
b_0,0.02,0.03,0.03,0.02,0.03,0.05,0.43,0.61,0.66,0.5,0.87,1.0,1.53,2.88,2.04,2.8
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.24,0.33,0.49,0.44,0.51,0.65,1.0,1.28,1.66,1.6
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.26,0.33,0.29,0.44,0.36,0.79,1.0,1.14,1.26
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.22,0.3,0.31,0.46,0.45,0.58,0.84,1.0,1.2
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.19,0.24,0.26,0.23,0.37,0.61,0.78,0.79,1.01
