,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.17,0.85,0.85,0.81,0.71,0.71,0.21,0.14,0.37,0.14,0.15,0.14,0.11,0.17,0.07,0.13
f_1,0.71,0.17,0.74,0.86,0.82,0.78,0.15,0.25,0.16,0.14,0.13,0.3,0.07,0.13,0.14,0.13
e_1,1.0,0.43,0.17,0.87,0.78,0.83,0.27,0.26,0.17,0.18,0.19,0.18,0.12,0.15,0.11,0.32
c_1,1.0,0.77,0.7,0.14,0.74,0.75,0.22,0.19,0.09,0.29,0.15,0.17,0.14,0.13,0.11,0.16
b_1,0.76,0.95,0.72,0.42,0.13,0.83,0.24,0.24,0.17,0.18,0.47,0.16,0.12,0.24,0.13,0.16
a_1,0.63,1.1,0.8,0.92,0.42,0.09,0.29,0.33,0.2,0.16,0.2,0.15,0.14,0.47,0.15,0.18
h_1,0.67,0.59,0.59,0.58,0.74,0.57,0.06,0.18,0.12,0.1,0.13,0.12,0.18,0.11,0.1,0.13
g_1,0.57,0.65,0.71,0.61,0.73,0.53,0.12,0.05,0.14,0.14,0.13,0.13,0.07,0.13,0.14,0.12
d_0,0.99,0.67,0.33,0.67,0.71,0.63,0.17,0.2,0.07,0.13,0.15,0.11,0.11,0.11,0.11,0.13
c_0,0.3,0.71,0.59,1.79,0.76,0.63,0.2,0.19,0.18,0.07,0.14,0.13,0.1,0.11,0.08,0.12
b_0,0.5,0.68,0.61,0.97,1.12,0.52,0.18,0.17,0.12,0.06,0.06,0.12,0.08,0.11,0.08,0.1
f_0,0.5,1.29,0.64,0.57,0.55,0.59,0.2,0.12,0.14,0.13,0.15,0.05,0.1,0.12,0.06,0.14
h_0,0.52,0.59,0.64,0.53,0.65,0.55,0.27,0.17,0.13,0.12,0.11,0.12,0.16,0.1,0.09,0.1
a_0,0.56,0.66,0.63,0.6,0.65,1.17,0.16,0.24,0.16,0.11,0.08,0.09,0.08,0.04,0.09,0.13
g_0,0.56,0.6,0.63,0.73,0.56,0.53,0.13,0.45,0.13,0.14,0.12,0.12,0.06,0.12,0.12,0.14
e_0,0.5,1.0,1.3,0.66,0.61,0.53,0.15,0.15,0.1,0.1,0.16,0.05,0.11,0.12,0.08,0.04
