,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,2.59,1.81,2.1,1.84,1.61,0.7,0.95,0.68,0.64,0.69,2.01,0.48,0.65,0.58,0.5
e_1,1.2,0.67,2.51,2.03,2.09,2.32,0.85,0.97,1.01,0.88,0.87,0.86,0.59,0.79,0.66,1.47
d_1,2.27,2.32,0.65,2.23,2.2,1.7,1.02,0.71,1.77,0.8,0.76,0.67,0.62,0.72,0.38,0.69
c_1,2.18,1.96,2.52,0.64,2.17,2.39,0.96,0.88,0.48,1.46,0.71,0.79,0.62,0.82,0.63,0.67
b_1,2.68,1.96,2.47,1.49,0.62,2.29,1.35,1.06,0.8,1.02,1.54,0.82,0.69,0.66,0.83,0.93
a_1,3.15,2.28,2.63,2.47,1.65,0.58,1.34,1.24,0.97,1.08,1.01,1.02,0.93,2.31,0.67,0.82
h_1,3.16,3.24,2.32,2.42,2.36,2.14,0.6,1.22,1.14,0.86,0.97,0.82,1.28,0.81,1.13,0.97
g_1,2.63,2.82,2.74,3.03,3.04,2.57,1.19,0.57,1.22,1.12,0.9,1.13,0.68,1.1,1.39,0.97
d_0,3.44,1.64,4.51,3.63,3.02,2.72,1.4,1.35,0.67,0.88,1.02,0.85,0.87,0.96,0.87,1.01
c_0,4.61,2.8,1.85,5.18,2.98,3.15,1.25,1.43,1.15,0.66,1.29,0.81,0.99,1.16,1.02,0.97
b_0,3.29,2.84,2.56,4.46,5.33,2.69,1.35,1.38,0.99,0.61,0.64,0.97,0.84,1.09,0.85,1.01
f_0,4.38,3.08,2.89,2.67,3.49,2.69,1.69,0.91,1.28,1.36,1.23,0.62,0.94,1.05,0.73,1.23
h_0,3.59,3.9,3.11,3.64,2.71,2.57,2.35,1.82,1.52,1.01,1.19,1.18,1.95,1.06,1.11,1.02
a_0,3.7,3.28,3.62,3.06,4.88,4.68,1.54,1.44,1.74,1.03,0.87,1.22,1.05,0.6,1.0,1.1
g_0,4.01,3.5,4.16,4.21,3.16,3.91,1.08,2.38,1.47,1.02,1.28,1.13,0.95,1.16,1.46,1.09
e_0,4.7,7.73,3.51,4.2,3.28,3.27,1.43,1.93,1.12,1.07,1.21,0.76,1.22,0.94,1.08,0.58
