,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.14,5.27,11.67,12.57,12.02,13.28,3.5,2.22,4.1,2.61,2.18,2.84,1.39,2.58,2.0,10.62
f_1,11.98,1.14,10.62,12.52,13.55,12.08,2.32,2.36,3.2,1.8,2.24,10.68,1.28,2.01,1.88,1.87
d_1,16.01,11.77,1.14,12.1,10.42,11.39,3.28,15.37,2.05,2.47,3.11,2.03,1.86,2.43,1.01,1.89
c_1,11.42,13.07,15.68,1.14,11.97,11.46,4.0,1.28,3.67,7.14,2.08,2.05,1.47,3.01,1.71,1.95
b_1,11.98,15.85,13.41,7.77,1.15,11.39,4.32,3.03,4.21,3.3,12.58,3.03,1.95,3.87,2.13,4.59
a_1,19.3,31.7,19.22,18.74,10.17,1.15,5.47,4.36,10.83,3.47,5.64,4.56,4.06,25.27,3.25,3.86
h_1,25.29,36.43,24.81,28.52,26.61,30.38,1.9,7.0,8.37,5.25,4.87,5.13,9.95,4.92,5.21,6.54
d_0,19.2,32.3,83.12,30.09,33.48,29.06,8.65,2.67,8.97,6.02,6.52,7.03,5.16,5.92,4.78,6.94
g_1,31.89,47.56,38.22,33.47,38.7,35.8,7.24,9.43,1.89,7.4,7.21,5.87,4.06,5.19,13.11,8.95
c_0,33.04,40.28,19.67,126.15,37.25,31.33,12.18,9.18,11.02,2.79,8.45,7.22,6.15,7.73,6.21,6.94
b_0,39.43,42.8,31.97,52.06,124.17,35.8,14.62,6.93,10.83,4.18,2.54,7.85,5.16,7.43,5.13,6.67
f_0,42.15,148.87,34.64,46.2,36.34,33.98,12.18,9.82,6.54,8.77,7.51,2.68,6.85,5.74,3.61,7.91
h_0,48.89,53.5,51.15,49.7,62.08,58.97,32.16,10.25,16.53,9.75,8.45,9.89,24.59,8.06,7.7,10.0
a_0,44.18,62.25,57.33,69.79,87.65,,14.11,14.43,15.7,11.58,5.1,8.9,8.04,2.75,9.83,10.0
g_0,64.33,67.14,57.33,57.54,64.78,80.2,10.86,15.71,34.89,13.06,13.87,9.37,8.36,10.53,16.09,13.6
e_0,146.68,131.69,61.57,50.46,56.23,54.19,16.75,11.05,16.53,12.79,14.62,5.74,6.74,10.53,8.43,2.79
